model,case,regime,segment,method,observation,valid_share,a_mae,a_median_ae,a_iqr_ae,k_mae,k_median_ae,k_iqr_ae,mean_R2,g_mae,g_median_ae,g_iqr_ae,q_mae,q_median_ae,q_iqr_ae,gamma_mae,gamma_median_ae,gamma_iqr_ae
base,base_a_0_8,устойчивое насыщение,early,direct,clean,0.576271186440678,5.07384157760422e-08,1.1363132657038477e-13,8.052419842030645e-12,1.1693260738772605e-13,2.220446049250313e-16,1.479372180313021e-14,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,late,direct,clean,0.0,,,,,,,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,middle,direct,clean,0.0,,,,,,,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,early,regression,clean,0.7708333333333334,0.0039501778847125905,2.6201263381153694e-14,5.579852613291081e-08,3.3606751015680416e-16,2.220446049250313e-16,2.220446049250313e-16,0.998455589150167,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,late,regression,clean,0.0,,,,,,,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,middle,regression,clean,0.0,,,,,,,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,early,direct,noisy,0.7627118644067796,12.74879588821007,0.8432142511672966,1.3527226849054204,0.17522378645545475,0.012954325169166947,0.033605675460530726,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,late,direct,noisy,0.9166666666666666,2.2905252538728935,0.932692386876194,1.6377033733292377,0.012160599560250491,0.008420092319391115,0.008623227481280415,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,middle,direct,noisy,0.8135593220338984,2.1549283778027193,0.9618462983650153,1.276632883170344,0.009962196190307996,0.0077107827298030784,0.007670839263297036,,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,early,regression,noisy,1.0,0.26729640967583557,0.3166544133781597,0.4300561053022347,0.007255667726466461,0.0051293189328862066,0.01041043915966805,0.7455046435004261,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,late,regression,noisy,1.0,0.4662728480945248,0.4551278836071202,0.12956878501793367,0.0037800892194486692,0.004074606338461906,0.0018578328801751587,0.6264797252367237,,,,,,,,,
base,base_a_0_8,устойчивое насыщение,middle,regression,noisy,1.0,0.23080805761205225,0.20363979379641872,0.08740179964014394,0.0017922034759560361,0.0016391705280109914,0.001707674855571828,0.5183305849622768,,,,,,,,,
