model,segment,method,observation,cases,degenerate_truth_share,degenerate_recall,degenerate_precision,informative_specificity,informative_retention,family_accuracy
base,early,direct,clean,5,0.2983050847457627,0.46875,1.0,1.0,1.0,0.864406779661017
base,early,direct,noisy,5,0.01694915254237288,0.41666666666666663,0.0365079365079365,0.9085521005904592,0.9085521005904592,
base,early,regression,clean,5,0.27083333333333337,0.19642857142857142,1.0,1.0,1.0,0.6333333333333334
base,early,regression,noisy,5,0.0,,,1.0,1.0,
base,late,direct,clean,5,0.4,1.0,1.0,1.0,0.6,0.6
base,late,direct,noisy,5,0.013333333333333332,0.0,0.0,0.958727326791555,0.958727326791555,
base,late,regression,clean,5,0.4,1.0,1.0,1.0,0.6,0.3346938775510204
base,late,regression,noisy,5,0.0,,,1.0,1.0,
base,middle,direct,clean,5,0.4,1.0,1.0,1.0,0.6,0.6
base,middle,direct,noisy,5,0.010169491525423728,0.25,0.05,0.9304900181488204,0.9304900181488204,
base,middle,regression,clean,5,0.4,0.9745762711864407,1.0,1.0,0.6,0.311864406779661
base,middle,regression,noisy,5,0.0,,,1.0,1.0,
delay,early,direct,clean,5,0.20689655172413796,0.3333333333333333,0.9782608695652174,0.9846153846153847,0.9846153846153847,0.8413793103448276
delay,early,direct,noisy,5,0.18275862068965515,0.8125,0.22166666666666668,0.7332838196286472,0.7332838196286472,
delay,early,regression,clean,5,0.14583333333333331,1.0,0.9722222222222222,0.9846153846153847,0.9846153846153847,0.8416666666666666
delay,early,regression,noisy,5,0.14583333333333331,1.0,0.32407407407407407,0.9346153846153846,0.9346153846153846,
delay,late,direct,clean,5,0.6,0.5762711864406779,1.0,1.0,0.4,0.6542372881355932
delay,late,direct,noisy,5,0.2,1.0,0.2,0.6228813559322034,0.49830508474576274,
delay,late,regression,clean,5,0.6,0.35374149659863946,1.0,1.0,0.4,0.6775510204081632
delay,late,regression,noisy,5,0.2,1.0,0.3333333333333333,0.653061224489796,0.5224489795918368,
delay,middle,direct,clean,5,0.5766666666666667,0.3333333333333333,1.0,1.0,0.6,0.8
delay,middle,direct,noisy,5,0.2,1.0,0.2,0.6583333333333333,0.5266666666666666,
delay,middle,regression,clean,5,0.5254237288135594,0.3333333333333333,1.0,1.0,0.8,0.7762711864406779
delay,middle,regression,noisy,5,0.2,1.0,0.3333333333333333,0.728813559322034,0.5830508474576271,
mixed,early,direct,clean,7,0.41379310344827586,0.8333333333333333,0.7692632948446902,0.9152298850574713,0.9152298850574713,0.6206896551724138
mixed,early,direct,noisy,7,0.3251231527093596,1.0,0.4007104007104007,0.8008347016967707,0.8008347016967707,
mixed,early,regression,clean,7,0.38095238095238093,0.75,0.9437229437229436,0.931547619047619,0.931547619047619,0.6547619047619048
mixed,early,regression,noisy,7,0.30357142857142855,1.0,0.9514658782951466,0.9494047619047619,0.9494047619047619,
mixed,late,direct,clean,7,0.5714285714285714,1.0,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.14285714285714285
mixed,late,direct,noisy,7,0.42857142857142855,1.0,0.5,0.7669491525423728,0.4382566585956416,
mixed,late,regression,clean,7,0.5714285714285714,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857
mixed,late,regression,noisy,7,0.42857142857142855,1.0,1.0,1.0,0.5714285714285714,
mixed,middle,direct,clean,7,0.5714285714285714,1.0,0.6666666666666666,0.423728813559322,0.18159806295399514,0.18159806295399514
mixed,middle,direct,noisy,7,0.42857142857142855,1.0,0.5,0.7669491525423728,0.4382566585956416,
mixed,middle,regression,clean,7,0.5714285714285714,0.788135593220339,1.0,1.0,0.42857142857142855,0.34382566585956414
mixed,middle,regression,noisy,7,0.42857142857142855,1.0,1.0,1.0,0.5714285714285714,
