model,segment,method,observation,cases,valid_share,mean_R2,a_mae,g_mae,q_mae,gamma_mae,k_mae,noise_level
base,early,direct,clean,5,0.864406779661017,,3.0507839968755575e-07,,,,4.569546097040116e-14,0.0
base,early,regression,clean,5,0.9541666666666668,0.9996833140853572,0.001066269945830162,,,,2.8740773524868355e-16,0.0
base,late,direct,clean,5,0.6,,3.5773853015699485e-16,,,,5.1810407815840633e-17,0.0
base,late,regression,clean,5,0.6,1.0,5.921189464667501e-16,,,,1.8654767828735622e-16,0.0
base,middle,direct,clean,5,0.6,,4.1899942398282742e-16,,,,4.892508244110859e-17,0.0
base,middle,regression,clean,5,0.6101694915254237,0.9863683596751134,0.04121091157454796,,,,2.6093377301924584e-16,0.0
delay,early,direct,clean,5,0.8413793103448276,,,0.02219725120744539,,,0.01190743268716112,0.0
delay,early,regression,clean,5,0.85,0.8473639229359877,,0.23662670953067577,,,0.07643860037998954,0.0
delay,late,direct,clean,5,0.6542372881355932,,,2.955608488569762e-06,,,8.347548170586023e-16,0.0
delay,late,regression,clean,5,0.7877551020408163,0.999703105207207,,0.00025119898447925767,,,1.9660404626403338e-16,0.0
delay,middle,direct,clean,5,0.8,,,1.938683991004978e-09,,,7.012908772215572e-16,0.0
delay,middle,regression,clean,5,0.8,1.0,,3.08264799044926e-11,,,1.7547168990897601e-16,0.0
mixed,early,direct,clean,7,0.6206896551724138,,,,0.15715280693280298,0.08372453918715399,0.12593150249959165,0.0
mixed,early,regression,clean,7,0.6785714285714286,0.6385906857553597,,,0.8337102040404828,0.46703032398558253,0.5236061553792586,0.0
mixed,late,direct,clean,7,0.14285714285714285,,,,2.0322726552460493e-16,6.774242184153498e-17,6.021548608136442e-17,0.0
mixed,late,regression,clean,7,0.42857142857142855,1.0,,,0.7422934912215782,0.6881279895421732,0.6384259121714188,0.0
mixed,middle,direct,clean,7,0.18159806295399514,,,,8.857735315623895e-07,7.086189280273968e-07,7.873543644351924e-07,0.0
