start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
0,3,base,True,0.7999999999983438,1.0000000000020701,0.7999999999999999,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
1,4,base,True,0.8000000000000518,0.9999999999999356,0.8000000000000003,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
2,5,base,True,0.8000000000009487,0.9999999999988147,0.8000000000000005,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
3,6,base,True,0.8000000000001815,0.9999999999997733,0.8,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
4,7,base,True,0.7999999999999831,1.0000000000000209,0.7999999999999998,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
5,8,base,True,0.7999999999998082,1.0000000000002391,0.7999999999999995,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
6,9,base,True,0.8000000000000888,0.9999999999998896,0.8000000000000005,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
7,10,base,True,0.7999999999999794,1.0000000000000255,0.7999999999999998,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
8,11,base,True,0.8000000000000029,0.9999999999999964,0.8,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
9,12,base,True,0.7999999999999862,1.0000000000000169,0.7999999999999997,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
10,13,base,True,0.8000000000000074,0.9999999999999915,0.8000000000000005,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
11,14,base,True,0.8000000000000009,0.9999999999999989,0.8,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
12,15,base,True,0.8000000000000006,0.9999999999999993,0.8,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
13,16,base,True,0.7999999999999989,1.0000000000000009,0.7999999999999997,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
14,17,base,True,0.7999999999999997,1.0000000000000004,0.8,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
15,18,base,True,0.8,1.0000000000000002,0.8000000000000002,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
16,19,base,True,0.8000000000000007,0.9999999999999998,0.8000000000000005,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
17,20,base,True,0.7999999999999993,1.0000000000000002,0.7999999999999994,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
18,21,base,True,0.8000000000000025,0.9999999999999999,0.8000000000000024,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
19,22,base,True,0.7999999999999893,1.0,0.7999999999999893,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
20,23,base,True,0.8000000000000516,1.0,0.8000000000000516,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
21,24,base,True,0.7999999999997846,1.0000000000000002,0.7999999999997847,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
22,25,base,True,0.8000000000001386,1.0,0.8000000000001386,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
23,26,base,True,0.8000000000042677,0.9999999999999999,0.8000000000042676,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
24,27,base,True,0.799999999986319,1.0,0.799999999986319,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
25,28,base,True,0.8000000000347249,1.0,0.8000000000347249,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
26,29,base,True,0.7999999999566215,1.0,0.7999999999566215,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
27,30,base,True,0.7999999998449719,1.0,0.7999999998449719,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
28,31,base,True,0.7999999921005854,1.0,0.7999999921005854,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
29,32,base,True,0.8000000011649114,1.0,0.8000000011649114,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
30,33,base,True,0.8000000002329823,1.0,0.8000000002329823,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
31,34,base,True,0.8000017155429611,0.9999999999999999,0.800001715542961,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
32,35,base,True,0.8000000000093194,1.0,0.8000000000093194,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
33,36,base,True,0.800000000001864,1.0,0.800000000001864,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
34,37,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
35,38,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
36,39,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
37,40,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
