model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
base,base_a_2_2,затухающие колебания,15,3,4,3.75,165,0.5767676767676768,1.0,0.0,2.2848484848484847,3.2848484848484847,0.550591825854433,0.23528049358477995,0.9999974176022849,rho>=2
base,base_a_2_2,затухающие колебания,20,3,4,5.0,160,0.5713541666666667,1.0,0.0,2.2625,3.2625,0.5459104643326894,0.2385384920788183,0.999996613697491,rho>=2
base,base_a_2_2,затухающие колебания,25,3,4,6.25,155,0.5747311827956989,1.0,0.0,2.270967741935484,3.270967741935484,0.5448802550173424,0.24189179131289262,0.999998201158567,rho>=2
base,base_a_2_2,затухающие колебания,30,3,4,7.5,150,0.5744444444444444,0.9933333333333333,0.0,2.26,3.2533333333333334,0.5476083152892807,0.24103478015223787,0.999999476238491,rho>=2
base,base_a_2_2,затухающие колебания,40,3,4,10.0,140,0.6446428571428572,0.9142857142857143,0.0,2.2857142857142856,3.2,0.5463721003688273,0.24301661956597032,0.9999997684490394,rho>=2
base,base_a_2_2,затухающие колебания,50,3,4,12.5,130,0.6634615384615384,0.8846153846153846,0.0,2.276923076923077,3.1615384615384614,0.5410382473118639,0.25117303702955507,0.9999998891744581,rho>=2
base,base_a_2_2,затухающие колебания,15,5,4,3.75,165,0.6487878787878788,1.0,0.0,3.83030303030303,4.83030303030303,0.4372889258445589,0.1675789815430985,0.9999985366034507,rho>=2
base,base_a_2_2,затухающие колебания,20,5,4,5.0,160,0.6430208333333334,1.0,0.0,3.79375,4.79375,0.4353960247891253,0.169703924336883,0.9999982087423787,rho>=2
base,base_a_2_2,затухающие колебания,25,5,4,6.25,155,0.6444086021505376,1.0,0.0,3.7870967741935484,4.787096774193548,0.4360131866663102,0.17267875290719475,0.999994680809183,rho>=2
base,base_a_2_2,затухающие колебания,30,5,4,7.5,150,0.6436666666666666,1.0,0.0,3.7666666666666666,4.766666666666667,0.4361000061654338,0.17576240552588224,0.9999993285242287,rho>=2
base,base_a_2_2,затухающие колебания,40,5,4,10.0,140,0.6991666666666667,0.9285714285714286,0.0,3.7642857142857142,4.692857142857143,0.43555865209192984,0.1850105112372419,0.999995501524025,rho>=2
base,base_a_2_2,затухающие колебания,50,5,4,12.5,130,0.7373076923076923,0.8769230769230769,0.0,3.792307692307692,4.6692307692307695,0.4340634680890762,0.1901521221717656,0.9999990595731099,rho>=2
base,base_a_2_2,затухающие колебания,20,10,4,5.0,160,0.726580312049062,1.0,0.0,7.73125,8.73125,0.293110639407619,0.10012520713598275,0.9999989038133975,rho>=2
base,base_a_2_2,затухающие колебания,25,10,4,6.25,155,0.7209128147837824,1.0,0.0,7.67741935483871,8.67741935483871,0.2672713219631269,0.08687187814110663,0.9999995834575587,rho>=2
base,base_a_2_2,затухающие колебания,30,10,4,7.5,150,0.7304735449735449,1.0,0.0,7.666666666666667,8.666666666666666,0.26771897304752573,0.08826512157980872,0.999997138877838,rho>=2
base,base_a_2_2,затухающие колебания,40,10,4,10.0,140,0.7617766955266956,0.9571428571428572,0.0,7.585714285714285,8.542857142857143,0.2686144811056178,0.0915670683463388,0.9999998939965029,rho>=2
base,base_a_2_2,затухающие колебания,50,10,4,12.5,130,0.8093459318459318,0.9076923076923077,0.0,7.553846153846154,8.461538461538462,0.26932575776847734,0.09470064009624177,0.9999995204793031,rho>=2
base,base_a_2_52,предтурбулентный цикл,15,3,4,3.75,165,0.0,1.0,0.0,0.0,1.0,0.18572964958353377,0.5894842620685503,0.9999995438428078,rho>=2
base,base_a_2_52,предтурбулентный цикл,20,3,4,5.0,160,0.05,1.0,0.0,0.1,1.1,0.12818438544764502,0.496347838349493,0.9999985133831301,rho>=2
base,base_a_2_52,предтурбулентный цикл,25,3,4,6.25,155,0.025806451612903226,1.0,0.0,0.05161290322580645,1.0516129032258064,0.06655514291874241,0.3624798068532908,0.9999991023274634,rho>=2
base,base_a_2_52,предтурбулентный цикл,30,3,4,7.5,150,0.051111111111111114,1.0,0.0,0.10666666666666667,1.1066666666666667,0.001999027510907374,0.026181790586925918,0.9999985526302565,rho>=2
base,base_a_2_52,предтурбулентный цикл,40,3,4,10.0,140,0.04880952380952381,1.0,0.0,0.10714285714285714,1.1071428571428572,-6.797621728072831e-05,0.00268869595068663,0.9999999518187949,rho>=2
