model,lags,rho_band,windows,false_lag_rate,hit_rate,no_model_share,mean_selected_count,mean_false_lag_count,mean_b_sum,std_b_sum,mean_period
base,3,rho>=2,1800,0.3201851851851852,0.9844444444444445,0.0,2.1644444444444444,1.18,0.3074321423428717,0.3917361392695374,4.0
base,5,rho>=2,1800,0.3566296296296297,0.9855555555555555,0.0,2.9277777777777776,1.9422222222222223,0.2623237220872323,0.3557706868881771,4.0
base,10,rho>=2,1470,0.4532397345662652,0.9455782312925171,0.0,4.891156462585034,3.945578231292517,0.4306163647497345,0.4227567896420134,4.0
delay,3,1<=rho<2,630,0.03796296296296296,1.0,0.0,1.0873015873015872,0.0873015873015873,-0.9023867454773623,0.21873378020572407,16.857142857142858
delay,3,rho<1,165,0.0,1.0,0.0,1.0,0.0,-0.7603761616496195,0.1129579301695584,20.0
delay,3,rho>=2,1905,0.09247594050743657,1.0,0.0,1.1874015748031497,0.18740157480314962,-1.0917312354110003,0.1502072946056453,8.755905511811024
delay,5,1<=rho<2,630,0.03650793650793651,1.0,0.0,1.0952380952380953,0.09523809523809523,-0.8476802699326839,0.31273366595023244,16.857142857142858
delay,5,rho<1,165,0.0,1.0,0.0,1.0,0.0,-0.6519491367752336,0.3058450050466624,20.0
delay,5,rho>=2,1905,0.11526684164479441,1.0,0.0,1.2514435695538058,0.25144356955380576,-1.0882513028023248,0.1577019539795607,8.755905511811024
delay,10,1<=rho<2,465,0.038820462691430434,1.0,0.0,1.135483870967742,0.13548387096774195,-0.3619275275829606,0.3212168320078041,20.0
delay,10,rho>=2,1740,0.19305555555555556,1.0,0.0,1.4293103448275861,0.42931034482758623,-0.8305838153215068,0.5216263347272,9.017241379310345
mixed,3,rho>=2,1800,0.018796296296296297,0.4875,0.49666666666666665,1.0161111111111112,0.04111111111111111,-0.7009380793197488,0.7026498296180497,2.5
mixed,5,rho>=2,1800,0.02898148148148148,0.47833333333333333,0.49666666666666665,1.021111111111111,0.06444444444444444,-0.7015558388359915,0.7067964173292873,2.5
mixed,10,rho>=2,1470,0.04659863945578231,0.4710884353741497,0.4965986394557823,1.0551020408163265,0.11292517006802721,-0.5173794209656734,0.7280784766692587,2.5
