model,case,regime,start,end,window,lags,period,rho,rho_band,no_model,b_sum,R2_enter,selected,selected_count,hit_rate,false_lag_count,false_lag_rate
base,base_a_2_2,затухающие колебания,0,15,15,3,4,3.75,rho>=2,0,1.4814538484841933e-15,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,1,16,15,3,4,3.75,rho>=2,0,7.771561172376096e-16,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,2,17,15,3,4,3.75,rho>=2,0,1.2351231148954867e-15,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,3,18,15,3,4,3.75,rho>=2,0,3.469446951953614e-16,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,4,19,15,3,4,3.75,rho>=2,0,1.1657341758564144e-15,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,5,20,15,3,4,3.75,rho>=2,0,3.0531133177191805e-16,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,6,21,15,3,4,3.75,rho>=2,0,8.756884106730922e-15,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,7,22,15,3,4,3.75,rho>=2,0,5.984102102729594e-14,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,8,23,15,3,4,3.75,rho>=2,0,8.526512829121202e-14,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,9,24,15,3,4,3.75,rho>=2,0,1.1937117960769683e-12,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,10,25,15,3,4,3.75,rho>=2,0,-6.821210263296962e-13,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,11,26,15,3,4,3.75,rho>=2,0,1.4551915228366852e-11,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,12,27,15,3,4,3.75,rho>=2,0,-5.093170329928398e-11,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,13,28,15,3,4,3.75,rho>=2,0,1.979060471057892e-09,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,14,29,15,3,4,3.75,rho>=2,0,2.9103830456733704e-09,1.0,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,15,30,15,3,4,3.75,rho>=2,0,6.332993507385254e-08,0.9999999999999881,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,16,31,15,3,4,3.75,rho>=2,0,6.891787052154541e-08,0.9999999999999463,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,17,32,15,3,4,3.75,rho>=2,0,-7.152557373046875e-07,0.9999999998137831,['X_n'],1.0,1.0,0.0,0.0
base,base_a_2_2,затухающие колебания,18,33,15,3,4,3.75,rho>=2,0,-2.6226043701171875e-06,0.9999999999896584,['X_n'],1.0,1.0,0.0,0.0
