model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
delay,delay_g_0_8,затухающие колебания,98,123,middle,0.6176036084310147,0.9831316170989564,0,0,1.0,0.9999999999999779,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791564713073967,0.4167823791503906,-0.5
delay,delay_g_0_8,затухающие колебания,111,136,late,0.617512610064651,0.9832285504185498,0,0,1.0,0.9999999999663618,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791935807785194,0.12772083282470703,-0.5
delay,delay_g_0_8,затухающие колебания,114,139,late,0.6173426359642797,0.9833330353728424,0,0,1.0,0.9999999991471484,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.1379125301541535,0.9887087345123291,-0.5
delay,delay_g_0_8,затухающие колебания,101,126,middle,0.6161590778324537,0.983527951117974,0,0,1.0,0.9999999999993863,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.1379153393913839,0.8918991088867188,-0.5
delay,delay_g_0_8,затухающие колебания,108,133,late,0.6158179121737345,0.983527951117974,0,0,1.0,0.9999999999996662,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791608516930864,0.6420421600341797,-0.5
delay,delay_g_0_8,затухающие колебания,105,130,late,0.6142885831083589,0.983527951117974,0,0,1.0,0.9999999999954652,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.137914825487087,0.531851053237915,-0.5
delay,delay_g_0_8,затухающие колебания,102,127,middle,0.6118583100297522,0.983527951117974,0,0,1.0,0.9999999999942047,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791484983255486,0.2561856508255005,-0.5
delay,delay_g_0_8,затухающие колебания,115,140,late,0.6106697495712572,0.9833330353728424,0,0,1.0,0.999999999962475,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791256508739025,1.09320068359375,-0.5
delay,delay_g_0_8,затухающие колебания,128,153,late,0.6091332402878946,0.9828132681036329,0,0,1.0,0.9999968913351528,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13787073256389704,0.06441187858581543,-0.5
delay,delay_g_0_8,затухающие колебания,113,138,late,0.6078670981603856,0.9824597298722568,0,0,1.0,0.9999999995332988,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.1379205228677165,0.4675331115722656,-0.5
delay,delay_g_0_8,затухающие колебания,141,166,late,0.6073759356580019,0.9826742271823568,0,0,1.0,0.9999184155283218,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13821926934178919,0.005236394703388214,-0.5
delay,delay_g_0_8,затухающие колебания,100,125,middle,0.6060414120675287,0.9831316170989564,0,0,1.0,0.9999999999997701,Lag_7,Lag_1,0.0,1.0,0.0,1.0,0.5,1.0,-0.13791506417737764,1.147618293762207,-0.5
