model,case,variable,is_true_predictor,mean_abs_B,mean_abs_Beta,selection_rate,problem_mean_abs_B,problem_mean_abs_Beta,problem_selection_rate
base,base_a_2_2,X_n,1,0.29291013290671974,0.1389359406320211,1.0,0.21095879385852118,0.10138524005024747,1.0
base,base_a_2_2,Lag_1,0,0.2751108003625686,0.1156303758741072,0.8064516129032258,0.2796175853855619,0.1178265671974136,0.8445945945945946
base,base_a_2_2,Lag_2,0,0.19878238418918837,0.09787967716073903,0.7870967741935484,0.20683824475881768,0.10199109833155416,0.8243243243243243
base,base_a_2_2,Lag_3,0,0.24626293490369017,0.1054630954899164,0.7806451612903226,0.25626604465397484,0.10981883365093381,0.8175675675675675
base,base_a_2_2,Lag_4,0,0.182018096784056,0.08490269663099428,0.7741935483870968,0.19062418915936935,0.08891734806928907,0.8108108108108109
base,base_a_2_2,Lag_5,0,0.22468781510796823,0.09679959921959701,0.7677419354838709,0.2352676949197704,0.10135980354322316,0.8040540540540541
base,base_a_2_2,Lag_6,0,0.17003985559552412,0.07760871592260278,0.7612903225806451,0.1780811407764129,0.08127896295878305,0.7972972972972973
base,base_a_2_2,Lag_7,0,0.20260326086925046,0.08867974658332933,0.7548387096774194,0.21218554078214918,0.09287394174208276,0.7905405405405406
base,base_a_2_2,Lag_8,0,0.15493651553942164,0.07028117593964536,0.7548387096774194,0.16226458443873717,0.07360528200130116,0.7905405405405406
base,base_a_2_2,Lag_9,0,0.1756389480668922,0.07778978490574648,0.7483870967741936,0.18394619474960938,0.0814690310857062,0.7837837837837838
base,base_a_2_2,Lag_10,0,0.13605237521478367,0.059861509296006275,0.7419354838709677,0.14248728482088846,0.06269279687810345,0.777027027027027
base,base_a_2_52,X_n,1,1.4875145294630083,0.6192964075129717,1.0,1.4459379333340008,0.603966061506782,1.0
base,base_a_2_52,Lag_4,0,0.31791266167313564,0.13833237037244736,0.01935483870967742,0.33071451382104633,0.1439028013941564,0.020134228187919462
base,base_a_2_52,Lag_5,0,0.1851353931532429,0.051704480620350136,0.0064516129032258064,0.19259050965605737,0.05378654024264596,0.006711409395973154
base,base_a_2_52,Lag_7,0,0.12370242937770895,0.03318001009626017,0.0064516129032258064,0.12868373525868995,0.0345161178853712,0.006711409395973154
base,base_a_2_52,Lag_1,0,0.1383603475302883,0.04079920899801185,0.0,0.14393190514895474,0.04244213016571615,0.0
base,base_a_2_52,Lag_10,0,0.05860521269257733,0.01786935120831079,0.0,0.06096515414328501,0.018588922397907163,0.0
base,base_a_2_52,Lag_2,0,0.14574806166217547,0.04481989000560857,0.0,0.1516171111250787,0.046624717791068554,0.0
base,base_a_2_52,Lag_3,0,0.2590774854093742,0.07335088176181853,0.0,0.26951013582854005,0.07630460854417292,0.0
base,base_a_2_52,Lag_6,0,0.18252752536172154,0.05153812329454251,0.0,0.1898776270541391,0.0536134839641213,0.0
base,base_a_2_52,Lag_8,0,0.35212898037182633,0.13997970038021185,0.0,0.3663086708565977,0.14561646683847537,0.0
base,base_a_2_52,Lag_9,0,0.06012957573908253,0.016412074446417773,0.0,0.06255090093662943,0.01707296335030034,0.0
delay,delay_g_0_8,Lag_1,1,0.4063813273634664,0.871508141248913,1.0,0.42202853973841886,0.5447396165691316,1.0
delay,delay_g_0_8,Lag_6,0,0.009267507052416137,0.29022883221095047,0.01935483870967742,0.007170447183176867,0.39276537019759417,0.75
delay,delay_g_0_8,Lag_9,0,0.011845013961465022,0.25891977875849503,0.01935483870967742,0.013154686944039852,0.5916260592639446,0.75
delay,delay_g_0_8,Lag_2,0,0.06015006013855062,0.2959313648161989,0.012903225806451613,0.009174436726529019,0.45970815047621727,0.5
delay,delay_g_0_8,Lag_3,0,0.0602279866264534,0.3813813899120668,0.012903225806451613,0.016220512628245795,0.5545322755351663,0.5
delay,delay_g_0_8,Lag_4,0,0.06957982031096478,0.291179711883901,0.012903225806451613,0.03704994121757545,0.09148178435862064,0.5
delay,delay_g_0_8,Lag_5,0,0.04228500799167385,0.23134458738664654,0.012903225806451613,0.04765502951664289,0.16815391648560762,0.5
delay,delay_g_0_8,Lag_7,0,0.08414758640157369,0.2778750045834682,0.012903225806451613,0.06084704473743733,0.10902317520231009,0.5
delay,delay_g_0_8,Lag_8,0,0.05625941133406778,0.2596750699717027,0.012903225806451613,0.0509922732298956,0.27290235995315015,0.5
delay,delay_g_0_8,X_n,0,0.02427994455876384,0.3275420364895971,0.012903225806451613,0.004530576880392784,0.5037899278104305,0.5
delay,delay_g_0_8,Lag_10,0,0.022619920616088324,0.19629041571700767,0.0064516129032258064,0.02623123121355956,0.028760443441569805,0.25
delay,delay_g_1_25,Lag_1,1,1.2500000000000004,1.0,1.0,1.2500000000000002,1.0000000000000007,1.0
delay,delay_g_1_25,Lag_5,0,4.97290380917181e-15,3.0489275978481137e-15,0.01935483870967742,1.3410568951618037e-14,5.138250935843303e-15,0.25
delay,delay_g_1_25,Lag_8,0,1.1570331386538455e-14,4.989422853368853e-15,0.01935483870967742,8.889185683832086e-14,3.756254566648446e-14,0.25
delay,delay_g_1_25,Lag_3,0,3.963496197911809e-15,2.797403885595838e-15,0.012903225806451613,3.774758283725532e-15,2.0585385248258112e-15,0.16666666666666666
delay,delay_g_1_25,Lag_6,0,5.9747094144895065e-15,3.5365975381204584e-15,0.012903225806451613,2.230391797179247e-14,8.442320916420462e-15,0.16666666666666666
delay,delay_g_1_25,Lag_7,0,7.0913928850921316e-15,4.222607926400938e-15,0.012903225806451613,4.617602596586797e-14,1.821690946239111e-14,0.16666666666666666
delay,delay_g_1_25,Lag_10,0,1.3966337047439802e-14,4.678700303528324e-15,0.0,8.931859881341116e-14,2.6184494387552586e-14,0.0
delay,delay_g_1_25,Lag_2,0,6.367308114455051e-15,4.026349146563975e-15,0.0,3.7192471324942744e-15,3.825643505687519e-15,0.0
delay,delay_g_1_25,Lag_4,0,4.351805654185946e-15,2.791584168128045e-15,0.0,6.328271240363392e-15,3.219646771412954e-15,0.0
delay,delay_g_1_25,Lag_9,0,1.467263810450703e-14,6.680006010705322e-15,0.0,1.2547081429392648e-13,2.980023635264691e-14,0.0
delay,delay_g_1_25,X_n,0,2.3817865242805173e-15,2.00240809596657e-15,0.0,9.96887757528005e-16,1.3825746103535153e-15,0.0
mixed,mixed_q_1_5_gamma_neg_0_2,X_n,1,0.558646333261695,0.3415065058907497,1.0,0.4867373726080737,0.2965931487615436,1.0
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_1,1,0.2906387475470645,0.1458374561329346,0.832258064516129,0.28992365187355085,0.14032295636185696,0.8194444444444444
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_2,0,0.14909208888941927,0.09078417807746936,0.5161290322580645,0.16048106790156322,0.0977190805694694,0.5555555555555556
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_3,0,0.17497385485863065,0.08391282551790903,0.5096774193548387,0.18833991321565985,0.09032283302271703,0.5486111111111112
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_4,0,0.12664617371051745,0.08111797256712594,0.4967741935483871,0.13632053420171156,0.08731448436038064,0.5347222222222222
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_5,0,0.13861141829760434,0.06668448455164157,0.4967741935483871,0.1491997905283013,0.07177843823260321,0.5347222222222222
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_7,0,0.11369970648893143,0.053822994244923025,0.4967741935483871,0.12238510073448146,0.05793447297195288,0.5347222222222222
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_6,0,0.09940292145997354,0.06276181041192294,0.49032258064516127,0.10699620018207309,0.06755611537389589,0.5277777777777778
