model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
base,base_a_2_2,затухающие колебания,0,25,early,0.46231697908504504,0.9999399958456034,0,0,1.0,1.0,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.200000000034379,0.9999999999872671,0.0
base,base_a_2_2,затухающие колебания,1,26,early,0.48171810465653375,0.9999527129493122,0,0,1.0,0.9999999999999999,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.199999937787652,0.9999999969732016,0.0
base,base_a_2_2,затухающие колебания,2,27,early,0.5267451964857998,0.9999975731232009,0,0,1.0,0.9999999999999857,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.200000137090683,0.9999998062849045,0.0
base,base_a_2_2,затухающие колебания,3,28,early,0.580520926915261,0.999998080979759,0,0,1.0,0.9999999999778192,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.199998140335083,1.0000000596046448,0.0
base,base_a_2_2,затухающие колебания,4,29,early,0.6610110416887869,0.9999999313882012,0,0,1.0,0.999999999358854,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.2000503540039062,0.9999895095825195,0.0
base,base_a_2_2,затухающие колебания,5,30,early,0.7401315926240898,0.9999999457035994,0,0,1.0,0.9999999990973453,X_n,X_n,1.0,1.0,1.0,1.0,1.0,1.0,2.19952392578125,0.9998779296875,0.0
base,base_a_2_2,затухающие колебания,6,31,early,0.8433116065501042,0.999999998213459,0,0,1.0,0.9999999978618619,Lag_1,X_n,0.0,1.0,0.0,1.0,0.9,1.0,-0.2791748046875,0.04581165313720703,-0.09999999999999998
base,base_a_2_2,затухающие колебания,7,32,early,0.9211903531665252,0.9999999985860176,0,1,1.0,0.999999999922563,Lag_1,X_n,0.0,1.0,0.0,1.0,0.9,1.0,-0.4384973347187042,0.08416748046875,-0.09999999999999998
base,base_a_2_2,затухающие колебания,8,33,early,0.9998626967678901,0.9999999999541386,0,1,1.0,0.9999999746791413,Lag_1,X_n,0.0,1.0,0.0,1.0,0.9,1.0,-0.4445006623864174,0.07606101036071777,-0.09999999999999998
base,base_a_2_2,затухающие колебания,9,34,early,0.999978006820431,0.9999999999637018,0,1,1.0,0.9999999496898954,Lag_1,X_n,0.0,1.0,0.0,1.0,0.9,1.0,-0.445770263671875,0.0751962661743164,-0.09999999999999998
base,base_a_2_2,затухающие колебания,10,35,early,0.9999892634568136,0.9999999999988255,0,1,1.0,0.9999997551596836,Lag_1,X_n,0.0,1.0,0.0,1.0,0.9,1.0,-0.0819845199584961,0.0008738040924072266,-0.09999999999999998
base,base_a_2_2,затухающие колебания,11,36,early,0.9999991358875849,0.9999999999990702,0,1,1.0,0.999999999998682,Lag_1,X_n,0.0,1.0,0.0,1.0,0.8,1.0,-0.23458094149827957,0.00716119259595871,-0.19999999999999996
base,base_a_2_2,затухающие колебания,12,37,early,0.9999995835642688,0.99999999999997,0,1,1.0,0.99999998914846,Lag_1,X_n,0.0,1.0,0.0,1.0,0.8,1.0,-0.23477208614349365,0.007210075855255127,-0.19999999999999996
base,base_a_2_2,затухающие колебания,13,38,early,0.9999999757099179,0.9999999999999762,0,1,1.0,0.999999968339966,Lag_1,X_n,0.0,1.0,0.0,1.0,0.8,1.0,-0.23459243774414062,0.0071926116943359375,-0.19999999999999996
base,base_a_2_2,затухающие колебания,14,39,early,0.9999999883224159,0.9999999999999991,0,1,1.0,0.9999999965596231,Lag_1,X_n,0.0,1.0,0.0,1.0,0.8,1.0,-0.03617464366834611,2.8252601623535156e-05,-0.19999999999999996
base,base_a_2_2,затухающие колебания,15,40,early,0.9999999993681332,0.9999999999999994,0,1,1.0,0.9999999999999966,Lag_1,Lag_2,0.0,0.0,0.0,0.0,0.7,0.7,-0.12918294733390212,-0.0224609375,0.0
base,base_a_2_2,затухающие колебания,16,41,early,0.9999999996963486,1.0000000000000002,0,1,1.0,0.9999999999853331,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.12916401214897633,0.0007679848931729794,-0.30000000000000004
base,base_a_2_2,затухающие колебания,17,42,early,0.9999999999837823,1.0000000000000002,0,1,1.0,0.9999999999819013,Lag_1,X_n,0.0,1.0,0.0,1.0,0.7,1.0,-0.12917088717222214,0.0007683485746383667,-0.30000000000000004
