model,case,regime,start,end,stage,variable,is_true_predictor,B,abs_B,Beta,abs_Beta,p_value,selected_stepwise,false_stepwise,problem_window,mean_abs_corr,rank_B,rank_Beta
base,base_a_2_2,затухающие колебания,0,25,early,X_n,1,-2.200000000109867,2.200000000109867,-0.999999999996362,0.999999999996362,6.251772637895395e-11,1,0,0,0.46231697908504504,1.0,1.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_1,0,-7.548806024715304e-11,7.548806024715304e-11,9.094947017729282e-12,9.094947017729282e-12,0.9999957763944689,0,0,0,0.46231697908504504,2.0,2.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_2,0,3.2741809263825417e-11,3.2741809263825417e-11,-9.094947017729282e-13,9.094947017729282e-13,0.9999956738142023,0,0,0,0.46231697908504504,3.0,3.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_3,0,9.663381206337363e-13,9.663381206337363e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.999995252728,0,0,0,0.46231697908504504,5.0,4.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_4,0,-1.0231815394945443e-12,1.0231815394945443e-12,4.263256414560601e-14,4.263256414560601e-14,0.9999947297072438,0,0,0,0.46231697908504504,4.0,5.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_5,0,2.8421709430404007e-13,2.8421709430404007e-13,-4.263256414560601e-14,4.263256414560601e-14,0.9999951368616796,0,0,0,0.46231697908504504,6.0,5.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_6,0,-1.9184653865522705e-13,1.9184653865522705e-13,3.552713678800501e-15,3.552713678800501e-15,0.9999947537104319,0,0,0,0.46231697908504504,7.0,6.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_7,0,5.684341886080802e-14,5.684341886080802e-14,-1.7763568394002505e-15,1.7763568394002505e-15,0.999994084922847,0,0,0,0.46231697908504504,8.0,8.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_8,0,-2.0872192862952943e-14,2.0872192862952943e-14,2.6645352591003757e-15,2.6645352591003757e-15,0.9999959367948459,0,0,0,0.46231697908504504,9.0,7.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_9,0,5.773159728050814e-15,5.773159728050814e-15,-4.440892098500626e-16,4.440892098500626e-16,0.9999951087306562,0,0,0,0.46231697908504504,10.0,10.0
base,base_a_2_2,затухающие колебания,0,25,early,Lag_10,0,-3.4833247397614286e-15,3.4833247397614286e-15,6.973588373426765e-16,6.973588373426765e-16,0.9999948531725797,0,0,0,0.46231697908504504,11.0,9.0
base,base_a_2_2,затухающие колебания,1,26,early,X_n,1,-2.199999967124313,2.199999967124313,-1.0000000009313226,1.0000000009313226,0.15241227155511117,1,0,0,0.48171810465653375,1.0,1.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_1,0,2.9336661100387573e-08,2.9336661100387573e-08,-3.958120942115784e-09,3.958120942115784e-09,0.9999999773471168,0,0,0,0.48171810465653375,2.0,2.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_2,0,-6.6356733441352844e-09,6.6356733441352844e-09,1.7462298274040222e-10,1.7462298274040222e-10,0.999999977116103,0,0,0,0.48171810465653375,3.0,4.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_3,0,-4.307366907596588e-09,4.307366907596588e-09,3.7834979593753815e-10,3.7834979593753815e-10,0.9999999784483834,0,0,0,0.48171810465653375,4.0,3.0
base,base_a_2_2,затухающие колебания,1,26,early,Lag_4,0,1.4370016288012266e-10,1.4370016288012266e-10,-5.4569682106375694e-12,5.4569682106375694e-12,0.9999999774597017,0,0,0,0.48171810465653375,5.0,5.0
