model,case,regime,method,windows,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model_share,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,validation_r2,validation_mae
base,base_a_2_2,затухающие колебания,elastic_net,52,10.692307692307692,1.0,9.692307692307692,1.0,0.9023164335664335,0.0,0.35988950503924244,1.983054221381392,1.975730334050275,1.0,0.9999839818061781,0.0016872842646392333
base,base_a_2_2,затухающие колебания,enter,52,9.807692307692308,1.0,8.807692307692308,1.0,0.8851232101232102,0.0,0.36125475619161107,1.9503183589094966,2.0234839591982254,1.0,0.9999972563187153,0.00010982909089421207
base,base_a_2_2,затухающие колебания,lasso,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463364,0.030568900876209518,1.8361380794436953e-16,1.0,0.9997678532285401,0.0065602406676926895
base,base_a_2_2,затухающие колебания,ridge,52,10.653846153846153,1.0,9.653846153846153,1.0,0.9019279331779332,0.0,0.36095229313236865,1.9835239467028773,1.9869512777531784,1.0,0.9999999907243295,1.2623735124489838e-05
base,base_a_2_2,затухающие колебания,stepwise,52,8.615384615384615,1.0,7.615384615384615,1.0,0.7198912198912198,0.0,0.2918199886607,1.6050099376338498,1.6050099376338496,1.0,1.0,2.821816854255606e-16
base,base_a_2_52,предтурбулентный цикл,elastic_net,52,2.9038461538461537,1.0,1.9038461538461537,1.0,0.6378205128205128,0.0,0.29794407214590696,1.6390797903549494,1.638305003250027,1.0,0.9999976272288074,0.0008691444798596906
base,base_a_2_52,предтурбулентный цикл,enter,52,8.153846153846153,1.0,7.153846153846154,1.0,0.8722222222222222,0.0,0.3679476241664267,1.2006449594870903,2.8467789063436033,1.0,0.9999927578302761,0.000670603596159219
base,base_a_2_52,предтурбулентный цикл,lasso,52,1.0,1.0,0.0,1.0,0.0,0.0,0.003126397918476173,0.034390377103237786,1.140870614503339e-16,1.0,0.9997666449866569,0.010123644988985965
base,base_a_2_52,предтурбулентный цикл,ridge,52,10.596153846153847,1.0,9.596153846153847,1.0,0.9028520091020091,0.0,0.4311631859091889,1.819234888743039,2.923560156258039,1.0,0.9991443877990067,0.0029769632930123245
base,base_a_2_52,предтурбулентный цикл,stepwise,52,1.0192307692307692,1.0,0.019230769230769232,1.0,0.009615384615384616,0.0,0.004405594405594466,0.024230769230769892,0.024230769230769236,1.0,1.0,5.611608044339332e-16
delay,delay_g_1_25,усиленный цикл,elastic_net,52,1.4230769230769231,1.0,0.4230769230769231,1.0,0.13557692307692307,0.0,0.019946847229372934,0.09275325930976411,0.12666206021333817,1.0,0.9902734555078501,0.016070373053280393
delay,delay_g_1_25,усиленный цикл,enter,52,5.980769230769231,1.0,4.980769230769231,1.0,0.6696650571650571,0.0,0.14362245129855394,0.1378677775485859,1.4419791867355074,1.0,-1.3377438200358667,0.09706130340818943
