model,method,sign_correct_share,coef_mae_true,false_coef_l1
base,elastic_net,1.0,1.8110670058681708,1.807017668650151
base,enter,1.0,1.5754816591982934,2.4351314327709144
base,lasso,1.0,0.032479638989723655,1.4885043469735173e-16
base,ridge,1.0,1.9013794177229582,2.455255717005609
base,stepwise,1.0,0.8146203534323099,0.8146203534323094
delay,elastic_net,1.0,0.09275325930976411,0.12666206021333817
delay,enter,1.0,0.1378677775485859,1.4419791867355074
delay,lasso,1.0,0.008911630197002269,0.0021919470539214256
delay,ridge,1.0,0.31666133673829544,1.0362077003924104
delay,stepwise,1.0,3.2452673027504574e-16,0.0
mixed,elastic_net,0.6333333333333333,1.4626136346632437,1.7420172314781577
mixed,enter,0.9666666666666667,0.6010569887605016,3.454613861834719
mixed,lasso,0.6333333333333333,1.0873423332782393,1.0782612107440315
mixed,ridge,1.0,1.4562629958292264,2.2567661621409703
mixed,stepwise,0.85,0.2825000000000227,0.5327492853742225
