model,case,regime,stage,start,end,method,active_threshold,validation_r2,validation_mae,alpha,l1_ratio,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,support_intersection
base,base_a_2_2,затухающие колебания,early,0,25,enter,0.05,0.9999999999142812,3.353207730316665e-06,,,3.0,1.0,2.0,1.0,0.6666666666666666,0.0,0.27181228825709863,1.4661125926715615,1.5238225781565238,1.0,1.0
base,base_a_2_2,затухающие колебания,early,0,25,stepwise,0.05,1.0,4.996003610813204e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,0,25,ridge,0.05,0.999999999876906,3.50287650587496e-06,0.001,,3.0,1.0,2.0,1.0,0.6666666666666666,0.0,0.2704137452343311,1.448309593166698,1.5262416044109446,1.0,1.0
base,base_a_2_2,затухающие колебания,early,0,25,lasso,0.05,0.9997686607279632,0.006550887247386265,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463034,0.030568900876209337,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,0,25,elastic_net,0.05,0.999999107073606,0.000375033781209048,0.003727593720314938,0.8,3.0,1.0,2.0,1.0,0.6666666666666666,0.0,0.22975461793064522,1.2628857883378721,1.2644150088992256,1.0,1.0
base,base_a_2_2,затухающие колебания,early,3,28,enter,0.05,1.0,2.9631912294251586e-09,,,3.0,1.0,2.0,1.0,0.6666666666666666,0.0,0.2436744155973553,1.1196696653962137,1.5607489061746946,1.0,1.0
base,base_a_2_2,затухающие колебания,early,3,28,stepwise,0.05,1.0,9.066821367772111e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,3,28,ridge,0.05,0.9999999951279478,2.918173740520021e-05,0.001,,6.0,1.0,5.0,1.0,0.8333333333333334,0.0,0.3383209928575562,1.8246995547521587,1.8968313666809595,1.0,1.0
base,base_a_2_2,затухающие колебания,early,3,28,lasso,0.05,0.9997678234815888,0.006560583961772226,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463034,0.030568900876209337,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,3,28,elastic_net,0.05,0.999998800305094,0.00032614213704423856,0.003727593720314938,0.5,6.0,1.0,5.0,1.0,0.8333333333333334,0.0,0.3215977593217325,1.7589729013228996,1.7786024512161573,1.0,1.0
base,base_a_2_2,затухающие колебания,early,6,31,enter,0.05,0.9999999969254858,2.3930899917960307e-05,,,4.0,1.0,3.0,1.0,0.75,0.0,0.26625799127240585,1.2209350585937502,1.7079028454027139,1.0,1.0
base,base_a_2_2,затухающие колебания,early,6,31,stepwise,0.05,1.0,4.070817756958907e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,4.0371746350005693e-17,4.440892098500626e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,6,31,ridge,0.05,0.9999997523450901,0.00020347189635398313,0.001,,8.0,1.0,7.0,1.0,0.875,0.0,0.35183026429310876,1.9211939405126812,1.9489389667115147,1.0,1.0
base,base_a_2_2,затухающие колебания,early,6,31,lasso,0.05,0.9997678419448995,0.006560371658823061,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463034,0.030568900876209337,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,6,31,elastic_net,0.05,0.999999454269646,0.0003144373954772813,0.003727593720314938,0.5,8.0,1.0,7.0,1.0,0.875,0.0,0.34989345077907985,1.9234834296723093,1.925344528897569,1.0,1.0
base,base_a_2_2,затухающие колебания,early,9,34,enter,0.05,0.999999964995948,5.4233653391781246e-05,,,4.0,1.0,3.0,1.0,0.75,0.0,0.3214032593240042,1.4800445556640627,2.055391296899984,1.0,1.0
base,base_a_2_2,затухающие колебания,early,9,34,stepwise,0.05,1.0,5.921189464667501e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,9,34,ridge,0.05,0.9999997893448263,0.0001965951186796248,0.001,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.35479399805816725,1.9508729828039653,1.9518609958358746,1.0,1.0
