alpha,threshold_in,threshold_out,model,case,regime,start,end,stage,var_omega,cond_scaled,interpretability,degenerate_window,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate,miss_rate,no_model,exact_recovery
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,0,25,early,0.09603457190251237,816249154998170.9,interpretable,0,0.9999999999996843,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,1,26,early,0.08417883992882036,934541190058.6754,interpretable,0,0.9999999999598169,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,2,27,early,0.06798582496514527,882397769.8721154,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,3,28,early,0.04916846692062293,981485.2810432606,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,4,29,early,0.030334312642247063,12541.950675984424,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,5,30,early,0.014730574345635319,8757.62974322474,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,6,31,early,0.004954138330486495,8550.677701413619,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,7,32,early,0.0009668126510274454,21423.496127454153,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,8,33,early,9.538454541494366e-05,19781569.20910485,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,9,34,early,5.352679657821303e-06,1456995682209.9631,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,10,35,early,2.3338773133395142e-07,31339489284152.543,interpretable,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,11,36,early,9.508377157404441e-09,59884710348513.26,low_dispersion,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,12,37,early,3.8175195257529097e-10,98973192399166.22,low_dispersion,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,13,38,early,1.528146882772778e-11,26882342237502.79,low_dispersion,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,14,39,early,6.113499686564176e-13,27804640175052.234,low_dispersion,0,0.999999999998129,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,15,40,early,2.445472861735134e-14,26812593797749.883,low_dispersion,0,0.999999999999982,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,16,41,early,9.781949834929638e-16,16704703348662.598,low_dispersion,0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,17,42,early,3.912784607214776e-17,9070394482081.248,low_dispersion,0,0.9999999999903341,4.0,1.0,3.0,0.75,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,18,43,early,1.5651142232586525e-18,10933781451804.885,low_dispersion,0,0.9999999999998905,6.0,1.0,5.0,0.8333333333333334,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,19,44,early,6.260457694695105e-20,1843454209234.605,low_dispersion,0,0.9999999913225722,4.0,1.0,3.0,0.75,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,20,45,early,2.5041830545626565e-21,1264937018362.4065,low_dispersion,1,0.999999999997536,5.0,1.0,4.0,0.8,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,21,46,early,1.0016725962216412e-22,181688517996.84314,low_dispersion,1,0.9999999852287066,6.0,1.0,5.0,0.8333333333333334,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,22,47,early,4.006619064468426e-24,64792385344.490486,low_dispersion,1,0.9999999998655796,7.0,1.0,6.0,0.8571428571428571,0.0,0.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,23,48,early,1.6026426634856762e-25,50320179800.901146,low_dispersion,1,0.9999999966481269,6.0,1.0,5.0,0.8333333333333334,0.0,0.0,0.0
