model,case,regime,start,stage,component,variable,loading,abs_loading,loading_share,is_true_predictor
base,base_a_2_2,затухающие колебания,0,early,1,X_n,-0.013792382209514193,0.013792382209514193,0.004882800099501151,1
base,base_a_2_2,затухающие колебания,0,early,1,Lag_1,0.009659313786813985,0.009659313786813985,0.0034196049386474646,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_2,-0.021714742686361355,0.021714742686361355,0.007687486189040417,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_3,0.21755163134568975,0.21755163134568975,0.07701795897510785,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_4,0.2663968763306838,0.2663968763306838,0.09431022679729488,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_5,0.3677776884092322,0.3677776884092322,0.1302012158798893,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_6,0.37787166045605086,0.37787166045605086,0.1337746991959599,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_7,0.41389281392574095,0.41389281392574095,0.1465269626609777,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_8,0.3992826771318848,0.3992826771318848,0.1413546598414143,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_9,0.38798646994783775,0.38798646994783775,0.13735555941594885,0
base,base_a_2_2,затухающие колебания,0,early,1,Lag_10,0.3487607939165371,0.3487607939165371,0.12346882600621822,0
base,base_a_2_2,затухающие колебания,0,early,2,X_n,0.5059890854311806,0.5059890854311806,0.18964297770437274,1
base,base_a_2_2,затухающие колебания,0,early,2,Lag_1,-0.5064616662542384,0.5064616662542384,0.18982009937966401,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_2,0.507311691540809,0.507311691540809,0.19013868594824956,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_3,-0.28867221464549536,0.28867221464549536,0.1081933582010701,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_4,0.2782408838452668,0.2782408838452668,0.10428373111358277,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_5,-0.13439203178735717,0.13439203178735717,0.05036967361890169,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_6,0.1724838052659164,0.1724838052659164,0.06464633996706728,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_7,-0.08206493993327386,0.08206493993327386,0.03075765865742823,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_8,0.10201065668933058,0.10201065668933058,0.03823324504254417,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_9,-0.057696937789654255,0.057696937789654255,0.021624614842294214,0
base,base_a_2_2,затухающие колебания,0,early,2,Lag_10,0.03279009534115606,0.03279009534115606,0.012289615524825149,0
base,base_a_2_2,затухающие колебания,0,early,3,X_n,-0.03305244210906848,0.03305244210906848,0.012433738206853374,1
base,base_a_2_2,затухающие колебания,0,early,3,Lag_1,0.03725514355377964,0.03725514355377964,0.014014719404934527,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_2,-0.020135924889202676,0.020135924889202676,0.007574775195098744,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_3,-0.4494834268529255,0.4494834268529255,0.16908763471596058,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_4,-0.44700940646653525,0.44700940646653525,0.1681569524474224,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_5,-0.3858230641227703,0.3858230641227703,0.14513974361223772,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_6,-0.1655870105302458,0.1655870105302458,0.06229087498571447,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_7,0.02877655274975992,0.02877655274975992,0.010825225022875183,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_8,0.25532110967966454,0.25532110967966454,0.09604723989726749,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_9,0.3752048637140675,0.3752048637140675,0.14114536632313898,0
base,base_a_2_2,затухающие колебания,0,early,3,Lag_10,0.46063785204531627,0.46063785204531627,0.17328373018849647,0
base,base_a_2_2,затухающие колебания,0,early,4,X_n,0.14210938681468382,0.14210938681468382,0.05096924334298981,1
base,base_a_2_2,затухающие колебания,0,early,4,Lag_1,-0.13936634255270675,0.13936634255270675,0.049985417477414716,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_2,0.12227207559943178,0.12227207559943178,0.04385435272764075,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_3,0.6076127901097668,0.6076127901097668,0.2179276461012615,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_4,0.11913683020413211,0.11913683020413211,0.0427298592013869,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_5,-0.08745900070074128,0.08745900070074128,0.03136822407842656,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_6,-0.46544424771764625,0.46544424771764625,0.16693718589787246,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_7,-0.2855654376559915,0.2855654376559915,0.10242148396021139,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_8,-0.1692681343758062,0.1692681343758062,0.06071005529328559,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_9,0.23448438424078838,0.23448438424078838,0.08410064886202821,0
base,base_a_2_2,затухающие колебания,0,early,4,Lag_10,0.41542138337675205,0.41542138337675205,0.1489958830574822,0
base,base_a_2_2,затухающие колебания,0,early,5,X_n,-0.23707470791618915,0.23707470791618915,0.08387130258143798,1
base,base_a_2_2,затухающие колебания,0,early,5,Lag_1,0.22698147799308224,0.22698147799308224,0.08030056174473857,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_2,-0.21057378282634961,0.21057378282634961,0.07449591569839809,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_3,-0.2729408051141552,0.2729408051141552,0.09655986104027331,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_4,0.5679788208762918,0.5679788208762918,0.20093718121295567,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_5,-0.09965154071528469,0.09965154071528469,0.03525430695455216,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_6,0.17814515874956083,0.17814515874956083,0.063023452160847,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_7,-0.48966541289016,0.48966541289016,0.17323178996679003,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_8,-0.007845022576107096,0.007845022576107096,0.0027753794068640053,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_9,-0.15431639178071177,0.15431639178071177,0.05459341024640776,0
base,base_a_2_2,затухающие колебания,0,early,5,Lag_10,0.3814755726847788,0.3814755726847788,0.13495683898673522,0
base,base_a_2_2,затухающие колебания,1,early,1,X_n,-0.4495073496539758,0.4495073496539758,0.15953166780470915,1
base,base_a_2_2,затухающие колебания,1,early,1,Lag_1,0.4502689361354951,0.4502689361354951,0.15980195740435155,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_2,-0.4499769934166187,0.4499769934166187,0.1596983459531002,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_3,0.45228794150148927,0.45228794150148927,0.16051850918841393,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_4,-0.2802371678974661,0.2802371678974661,0.09945711190254315,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_5,0.20236203390793278,0.20236203390793278,0.07181896535070388,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_6,-0.17279343619509716,0.17279343619509716,0.06132497073324912,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_7,0.09033492566796593,0.09033492566796593,0.032060168457576116,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_8,-0.13493608480504277,0.13493608480504277,0.04788926960272616,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_9,0.02661136563926136,0.02661136563926136,0.009444463024376147,0
base,base_a_2_2,затухающие колебания,1,early,1,Lag_10,-0.10835223088040025,0.10835223088040025,0.038454570578250545,0
base,base_a_2_2,затухающие колебания,1,early,2,X_n,-0.06154424485907547,0.06154424485907547,0.02191672712821879,1
base,base_a_2_2,затухающие колебания,1,early,2,Lag_1,0.057852294180874675,0.057852294180874675,0.02060197420907501,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_2,-0.06242441948259288,0.06242441948259288,0.022230169060815177,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_3,0.04917618754203618,0.04917618754203618,0.017512296820487952,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_4,0.20515945109121947,0.20515945109121947,0.07306001913968324,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_5,0.33599676142135954,0.33599676142135954,0.11965293185251036,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_6,0.38557489321069804,0.38557489321069804,0.13730836638488433,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_7,0.4303999344886719,0.4303999344886719,0.15327116193871795,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_8,0.4252488748820144,0.4252488748820144,0.1514368008529851,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_9,0.4200450804550182,0.4200450804550182,0.14958366019378985,0
base,base_a_2_2,затухающие колебания,1,early,2,Lag_10,0.3746725387200933,0.3746725387200933,0.13342589241883226,0
base,base_a_2_2,затухающие колебания,1,early,3,X_n,-0.034336171490011155,0.034336171490011155,0.013750050881508545,1
base,base_a_2_2,затухающие колебания,1,early,3,Lag_1,0.028316286138303687,0.028316286138303687,0.011339364823777688,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_2,-0.031952652355619594,0.031952652355619594,0.012795561549916425,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_3,0.01400342293929055,0.01400342293929055,0.0056077241455572205,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_4,0.5285828430389827,0.5285828430389827,0.21167301628234314,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_5,0.4521307479687366,0.4521307479687366,0.18105748311145287,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_6,0.3390100417949389,0.3390100417949389,0.13575786471647872,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_7,0.03735020069379183,0.03735020069379183,0.014957030376074307,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_8,-0.17980188424355356,0.17980188424355356,0.07200235057246238,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_9,-0.39714541465247505,0.39714541465247505,0.1590383965905445,0
base,base_a_2_2,затухающие колебания,1,early,3,Lag_10,-0.4545372023493029,0.4545372023493029,0.18202115694988422,0
base,base_a_2_2,затухающие колебания,1,early,4,X_n,-0.16803176391331562,0.16803176391331562,0.06649788678081031,1
base,base_a_2_2,затухающие колебания,1,early,4,Lag_1,0.16142005461966877,0.16142005461966877,0.0638813297335167,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_2,-0.15498421089359513,0.15498421089359513,0.06133437076892347,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_3,0.13614309929266022,0.13614309929266022,0.05387807752480848,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_4,0.6146387562316764,0.6146387562316764,0.24324078656983725,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_5,-0.16804438526140417,0.16804438526140417,0.06650288162795508,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_6,-0.11931291234749436,0.11931291234749436,0.04721759952996418,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_7,-0.5203210373319463,0.5203210373319463,0.2059149331314712,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_8,-0.02147451079609446,0.02147451079609446,0.008498450259253726,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_9,0.0023968541130118433,0.0023968541130118433,0.0009485452614745217,0
base,base_a_2_2,затухающие колебания,1,early,4,Lag_10,0.46010615582160225,0.46010615582160225,0.18208513881198501,0
base,base_a_2_2,затухающие колебания,2,early,1,X_n,0.41462853585014653,0.41462853585014653,0.14274989776327437,1
base,base_a_2_2,затухающие колебания,2,early,1,Lag_1,-0.4146841203482281,0.4146841203482281,0.14276903460681578,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_2,0.41484710048270107,0.41484710048270107,0.14282514603070937,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_3,-0.4151193765935502,0.4151193765935502,0.1429188862912715,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_4,0.41534353832918597,0.41534353832918597,0.14299606155075728,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_5,-0.2225835486002177,0.2225835486002177,0.07663191521856916,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_6,0.2235636934305693,0.2235636934305693,0.07696936322860304,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_7,-0.10531980085314933,0.10531980085314933,0.03625990375556099,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_8,0.13466609165704616,0.13466609165704616,0.04636335696675442,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_9,-0.06506847761549987,0.06506847761549987,0.022402024279827994,0
base,base_a_2_2,затухающие колебания,2,early,1,Lag_10,0.07875598107278568,0.07875598107278568,0.02711441030785618,0
base,base_a_2_2,затухающие колебания,2,early,2,X_n,-0.011577450483649325,0.011577450483649325,0.004656287577237135,1
base,base_a_2_2,затухающие колебания,2,early,2,Lag_1,0.010560178457293621,0.010560178457293621,0.004247155091144407,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_2,-0.014810755787535516,0.014810755787535516,0.005956677446419687,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_3,0.009682519119381715,0.009682519119381715,0.0038941728626359045,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_4,-0.024736544934744312,0.024736544934744312,0.009948690089073231,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_5,0.28290648382696054,0.28290648382696054,0.11378100455050195,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_6,0.3443157428610774,0.3443157428610774,0.1384789439087159,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_7,0.45449151513272185,0.45449151513272185,0.18279008827210427,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_8,0.4507289738220161,0.4507289738220161,0.18127684713247483,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_9,0.46396887799080744,0.46396887799080744,0.18660175017499003,0
base,base_a_2_2,затухающие колебания,2,early,2,Lag_10,0.418633210179032,0.418633210179032,0.1683683828947026,0
base,base_a_2_2,затухающие колебания,2,early,3,X_n,0.06179191818815984,0.06179191818815984,0.02450694920018525,1
base,base_a_2_2,затухающие колебания,2,early,3,Lag_1,-0.06225074535392987,0.06225074535392987,0.024688922091995327,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_2,0.05558803889461044,0.05558803889461044,0.02204646311803885,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_3,-0.057583795516751274,0.057583795516751274,0.02283798905846694,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_4,0.038325157332687036,0.038325157332687036,0.015199927618062487,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_5,0.609667457023687,0.609667457023687,0.24179682127344176,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_6,0.40427741472480927,0.40427741472480927,0.16033821826462663,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_7,0.2592757259919228,0.2592757259919228,0.10282990449295883,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_8,-0.15345253912285114,0.15345253912285114,0.06085995857050031,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_9,-0.3023841534691003,0.3023841534691003,0.1199268982950624,0
base,base_a_2_2,затухающие колебания,2,early,3,Lag_10,-0.5168069910123612,0.5168069910123612,0.20496794801666124,0
base,base_a_2_2,затухающие колебания,2,early,4,X_n,0.14920433260746493,0.14920433260746493,0.05295647269966255,1
base,base_a_2_2,затухающие колебания,2,early,4,Lag_1,-0.14721365379121554,0.14721365379121554,0.052249929353740746,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_2,0.1407476652434196,0.1407476652434196,0.049954982953567956,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_3,-0.13110262188451363,0.13110262188451363,0.04653170786230957,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_4,0.11169329744888962,0.11169329744888962,0.039642837132944496,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_5,0.5797857600614708,0.5797857600614708,0.20578094642281344,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_6,-0.499850903441646,0.499850903441646,0.17741000049676062,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_7,-0.11409380987780517,0.11409380987780517,0.04049484101705092,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_8,-0.3907718861905261,0.3907718861905261,0.13869503895229976,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_9,0.30775062587225976,0.30775062587225976,0.10922864860891447,0
base,base_a_2_2,затухающие колебания,2,early,4,Lag_10,0.245275450018013,0.245275450018013,0.08705459449993543,0
base,base_a_2_2,затухающие колебания,3,early,1,X_n,-0.3843892978420263,0.3843892978420263,0.12775817478466137,1
base,base_a_2_2,затухающие колебания,3,early,1,Lag_1,0.38444189199150836,0.38444189199150836,0.1277756553247802,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_2,-0.3844548196368543,0.3844548196368543,0.12777995204267253,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_3,0.38469272808487376,0.38469272808487376,0.12785902487132686,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_4,-0.38474973266585816,0.38474973266585816,0.1278779712916924,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_5,0.38529470924562564,0.38529470924562564,0.12805910331987935,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_6,-0.21047275625413261,0.21047275625413261,0.0699541202938897,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_7,0.1955136535534261,0.1955136535534261,0.06498221377050882,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_8,-0.11052790367479289,0.11052790367479289,0.036735786650516196,0
base,base_a_2_2,затухающие колебания,3,early,1,Lag_9,0.10738296105779294,0.10738296105779294,0.03569051267747354,0
