case,component,variable,abs_loading,loading_share,is_true_predictor
base_a_2_2,1,Lag_3,0.30405149388303476,0.0921926100657367,0
base_a_2_2,1,Lag_4,0.30325910965688413,0.09191106567134812,0
base_a_2_2,1,Lag_2,0.30276931737904195,0.09173874816439645,0
base_a_2_2,1,X_n,0.3027130889941186,0.0917188710026559,1
base_a_2_2,1,Lag_1,0.30269212220316577,0.09171143858652704,0
base_a_2_2,1,Lag_5,0.30217310009559734,0.09153809481409883,0
base_a_2_2,1,Lag_6,0.3009264344067287,0.0911209230697077,0
base_a_2_2,1,Lag_7,0.29866102425238333,0.09036290063664472,0
base_a_2_2,1,Lag_8,0.29748472041697144,0.0899963482278025,0
base_a_2_2,1,Lag_9,0.2945052023062288,0.0890162258582775,0
base_a_2_2,1,Lag_10,0.29341145587323664,0.08869277390280442,0
base_a_2_2,2,Lag_10,0.5202460264840179,0.28124528181125846,0
base_a_2_2,2,Lag_9,0.41216746525457704,0.20556957740834741,0
base_a_2_2,2,Lag_8,0.3189504936992868,0.14358485371317484,0
base_a_2_2,2,Lag_7,0.22906512477053545,0.09730703604758223,0
base_a_2_2,2,Lag_6,0.1673588897423733,0.06866755644223214,0
base_a_2_2,2,Lag_5,0.1047321273285137,0.04206918771182356,0
base_a_2_2,2,Lag_2,0.0870455939403359,0.03554033786026542,0
base_a_2_2,2,X_n,0.08626749579260184,0.03523628072891899,1
base_a_2_2,2,Lag_1,0.08555589549021768,0.034958630462915634,0
base_a_2_2,2,Lag_4,0.07792646172413348,0.03182702818001666,0
base_a_2_2,2,Lag_3,0.05644148018889625,0.023994229633464637,0
base_a_2_2,3,Lag_10,0.4977171350668502,0.21246897384031033,0
base_a_2_2,3,Lag_6,0.33611232327775525,0.14120494909853662,0
base_a_2_2,3,Lag_5,0.3092531035116274,0.1231586536481091,0
base_a_2_2,3,Lag_9,0.2996725030961872,0.12232967693454053,0
base_a_2_2,3,Lag_7,0.2841868175880159,0.13148229119160532,0
base_a_2_2,3,Lag_4,0.22717161435041758,0.09069034279217217,0
base_a_2_2,3,Lag_8,0.1444782018033885,0.05824657091505832,0
base_a_2_2,3,Lag_3,0.13008959742854392,0.051932081602417315,0
base_a_2_2,3,X_n,0.05391135768609565,0.02357234797720056,1
base_a_2_2,3,Lag_1,0.053313623604878034,0.02329572751679427,0
base_a_2_2,3,Lag_2,0.04898048378747814,0.021618384483255444,0
base_a_2_2,4,Lag_10,0.3736009964054558,0.1393785387898009,0
base_a_2_2,4,Lag_6,0.3615360211689289,0.1305215953081991,0
base_a_2_2,4,Lag_7,0.30666009495524765,0.1162770860362445,0
base_a_2_2,4,Lag_3,0.29161950376231355,0.10611247716279319,0
