model,case,regime,start,stage,rho,retained_components,explained_variance_share,validation_r2,validation_mae,true_mass_share,support_90,pairwise_score,false_lag_rate,component_dominance
base,base_a_2_2,затухающие колебания,0,early,0.8,3.0,0.8964008369194316,0.9885867429955403,0.04596983983361267,0.19162111526875666,8.0,0.8,0.8571428571428571,0.16998312626590792
base,base_a_2_2,затухающие колебания,0,early,0.9,4.0,0.9365540196356102,0.982543261911836,0.05375681959915892,0.2114484269639795,7.0,1.0,0.8571428571428571,0.1819692562247463
base,base_a_2_2,затухающие колебания,0,early,0.95,5.0,0.9602788225940563,0.9993055022278821,0.009366969706490516,0.2754516090163495,6.0,1.0,0.6666666666666666,0.18576284122238818
base,base_a_2_2,затухающие колебания,0,early,0.99,8.0,0.9941071441022609,0.9999988004600497,0.0004469443584576016,0.3263240105067543,3.0,1.0,0.6666666666666666,0.20424051229486426
base,base_a_2_2,затухающие колебания,1,early,0.8,2.0,0.8308819094509661,0.9901645752054243,0.04265520733722759,0.16231096085190247,8.0,0.7,0.875,0.15689483556356593
base,base_a_2_2,затухающие колебания,1,early,0.9,3.0,0.9163589847672509,0.99201638941831,0.03826560678897001,0.16338351824334094,8.0,0.9,0.8571428571428571,0.17515422913649167
base,base_a_2_2,затухающие колебания,1,early,0.95,4.0,0.9512495787959959,0.9978571529330031,0.017454807287154206,0.19195718284653135,7.0,1.0,0.8333333333333334,0.19217586849482807
base,base_a_2_2,затухающие колебания,1,early,0.99,7.0,0.9933184751747242,0.9999933825570689,0.0010948463887734405,0.24094604896330726,4.0,1.0,0.75,0.21456361215197198
base,base_a_2_2,затухающие колебания,2,early,0.8,2.0,0.8657787812178126,0.9927773590389932,0.035619769883558805,0.14278013499899747,8.0,0.6,0.875,0.16479890586287366
base,base_a_2_2,затухающие колебания,2,early,0.9,3.0,0.9358226592905151,0.9968503175462498,0.02398502666851952,0.14918816440318772,8.0,0.9,0.875,0.19046487766639633
base,base_a_2_2,затухающие колебания,2,early,0.95,4.0,0.9637102984329056,0.9991357201345211,0.011735443768995954,0.17200110217736528,7.0,1.0,0.8,0.1942938948555006
base,base_a_2_2,затухающие колебания,2,early,0.99,6.0,0.992740990661407,0.9999747303145666,0.002047760594533802,0.1921237815445991,5.0,1.0,0.8,0.22460232350100692
base,base_a_2_2,затухающие колебания,3,early,0.8,2.0,0.899142544513751,0.996457305069976,0.02546935646039768,0.12857201616118713,8.0,0.5,0.875,0.17508312796133685
base,base_a_2_2,затухающие колебания,3,early,0.9,3.0,0.9516997502539657,0.9977065000917198,0.020378441099558702,0.13175635655080178,8.0,1.0,0.8571428571428571,0.22381111298914283
base,base_a_2_2,затухающие колебания,3,early,0.95,3.0,0.9516997502539657,0.9977065000917198,0.020378441099558702,0.13175635655080178,8.0,1.0,0.8571428571428571,0.22381111298914283
base,base_a_2_2,затухающие колебания,3,early,0.99,5.0,0.9909524808645791,0.999989134634607,0.0013427537464032098,0.16133684801552386,6.0,1.0,0.8333333333333334,0.2659669516385749
base,base_a_2_2,затухающие колебания,4,early,0.8,2.0,0.9263370874789384,0.9972830343595355,0.021685221311718943,0.11605558571430125,9.0,0.4,0.8888888888888888,0.19971189696808528
base,base_a_2_2,затухающие колебания,4,early,0.9,2.0,0.9263370874789384,0.9972830343595355,0.021685221311718943,0.11605558571430125,9.0,0.4,0.8888888888888888,0.19971189696808528
base,base_a_2_2,затухающие колебания,4,early,0.95,3.0,0.9699564933686233,0.9996644416261914,0.007424274906149275,0.12692863361908205,8.0,1.0,0.875,0.26180663754758865
base,base_a_2_2,затухающие колебания,4,early,0.99,5.0,0.9999996945285692,0.9999999424809788,7.719461990512988e-05,0.14143247816298854,7.0,1.0,0.8571428571428571,0.3079639096876261
base,base_a_2_2,затухающие колебания,5,early,0.8,2.0,0.9541292313319032,0.9990188865359245,0.013296632097209419,0.10897652267922071,9.0,0.7,0.8888888888888888,0.2239242836396818
base,base_a_2_2,затухающие колебания,5,early,0.9,2.0,0.9541292313319032,0.9990188865359245,0.013296632097209419,0.10897652267922071,9.0,0.7,0.8888888888888888,0.2239242836396818
base,base_a_2_2,затухающие колебания,5,early,0.95,2.0,0.9541292313319032,0.9990188865359245,0.013296632097209419,0.10897652267922071,9.0,0.7,0.8888888888888888,0.2239242836396818
base,base_a_2_2,затухающие колебания,5,early,0.99,4.0,0.9999993958070489,0.999999846639771,0.00016905859061701797,0.12396309193982741,8.0,1.0,0.875,0.29946781645427034
base,base_a_2_2,затухающие колебания,6,early,0.8,1.0,0.8650128670180145,0.9992720017875767,0.01129207348247104,0.09965206038144034,10.0,0.2,0.9090909090909091,0.09970542152795522
base,base_a_2_2,затухающие колебания,6,early,0.9,2.0,0.9736452102971804,0.9992328266168417,0.011357973446536032,0.09967531705840212,10.0,0.6,0.9090909090909091,0.29131493607039294
base,base_a_2_2,затухающие колебания,6,early,0.95,2.0,0.9736452102971804,0.9992328266168417,0.011357973446536032,0.09967531705840212,10.0,0.6,0.9090909090909091,0.29131493607039294
base,base_a_2_2,затухающие колебания,6,early,0.99,3.0,0.9999896740136339,0.999999042681796,0.00034352729188543335,0.11053331755294683,9.0,1.0,0.8888888888888888,0.3048543032620508
base,base_a_2_2,затухающие колебания,7,early,0.8,1.0,0.9329456771207001,0.9996576917356128,0.0048483181260445445,0.09491020249553796,10.0,0.1,0.9090909090909091,0.09502487214907875
base,base_a_2_2,затухающие колебания,7,early,0.9,1.0,0.9329456771207001,0.9996576917356128,0.0048483181260445445,0.09491020249553796,10.0,0.1,0.9090909090909091,0.09502487214907875
base,base_a_2_2,затухающие колебания,7,early,0.95,2.0,0.9999786677440091,0.9999967424275301,0.0007742876787843467,0.09970798714438514,10.0,1.0,0.9,0.37346605203265915
base,base_a_2_2,затухающие колебания,7,early,0.99,2.0,0.9999786677440091,0.9999967424275301,0.0007742876787843467,0.09970798714438514,10.0,1.0,0.9,0.37346605203265915
base,base_a_2_2,затухающие колебания,8,early,0.8,1.0,0.9998481764226704,0.9999890810970913,0.001285840636644997,0.0909142842714154,10.0,0.4,0.9090909090909091,0.09091530572230687
base,base_a_2_2,затухающие колебания,8,early,0.9,1.0,0.9998481764226704,0.9999890810970913,0.001285840636644997,0.0909142842714154,10.0,0.4,0.9090909090909091,0.09091530572230687
base,base_a_2_2,затухающие колебания,8,early,0.95,1.0,0.9998481764226704,0.9999890810970913,0.001285840636644997,0.0909142842714154,10.0,0.4,0.9090909090909091,0.09091530572230687
base,base_a_2_2,затухающие колебания,8,early,0.99,1.0,0.9998481764226704,0.9999890810970913,0.001285840636644997,0.0909142842714154,10.0,0.4,0.9090909090909091,0.09091530572230687
base,base_a_2_2,затухающие колебания,9,early,0.8,1.0,0.9999761617245719,0.9999977202195272,0.0006507261144308626,0.09090988965413088,10.0,0.2,0.9090909090909091,0.09091011039747048
base,base_a_2_2,затухающие колебания,9,early,0.9,1.0,0.9999761617245719,0.9999977202195272,0.0006507261144308626,0.09090988965413088,10.0,0.2,0.9090909090909091,0.09091011039747048
base,base_a_2_2,затухающие колебания,9,early,0.95,1.0,0.9999761617245719,0.9999977202195272,0.0006507261144308626,0.09090988965413088,10.0,0.2,0.9090909090909091,0.09091011039747048
base,base_a_2_2,затухающие колебания,9,early,0.99,1.0,0.9999761617245719,0.9999977202195272,0.0006507261144308626,0.09090988965413088,10.0,0.2,0.9090909090909091,0.09091011039747048
base,base_a_2_2,затухающие колебания,10,early,0.8,1.0,0.9999880417665037,0.9999994338037301,0.0002784633062047533,0.0909095284081582,10.0,0.3,0.9090909090909091,0.09090959678420901
base,base_a_2_2,затухающие колебания,10,early,0.9,1.0,0.9999880417665037,0.9999994338037301,0.0002784633062047533,0.0909095284081582,10.0,0.3,0.9090909090909091,0.09090959678420901
base,base_a_2_2,затухающие колебания,10,early,0.95,1.0,0.9999880417665037,0.9999994338037301,0.0002784633062047533,0.0909095284081582,10.0,0.3,0.9090909090909091,0.09090959678420901
base,base_a_2_2,затухающие колебания,10,early,0.99,1.0,0.9999880417665037,0.9999994338037301,0.0002784633062047533,0.0909095284081582,10.0,0.3,0.9090909090909091,0.09090959678420901
base,base_a_2_2,затухающие колебания,11,early,0.8,1.0,0.999999060766444,0.9999999210604531,0.00012104748447572256,0.09090912317797321,10.0,0.2,0.9090909090909091,0.09090913144308368
base,base_a_2_2,затухающие колебания,11,early,0.9,1.0,0.999999060766444,0.9999999210604531,0.00012104748447572256,0.09090912317797321,10.0,0.2,0.9090909090909091,0.09090913144308368
base,base_a_2_2,затухающие колебания,11,early,0.95,1.0,0.999999060766444,0.9999999210604531,0.00012104748447572256,0.09090912317797321,10.0,0.2,0.9090909090909091,0.09090913144308368
base,base_a_2_2,затухающие колебания,11,early,0.99,1.0,0.999999060766444,0.9999999210604531,0.00012104748447572256,0.09090912317797321,10.0,0.2,0.9090909090909091,0.09090913144308368
base,base_a_2_2,затухающие колебания,12,early,0.8,1.0,0.9999995351072056,0.9999999811748908,4.9566268630008015e-05,0.09090910826801368,10.0,0.3,0.9090909090909091,0.09090911137932381
base,base_a_2_2,затухающие колебания,12,early,0.9,1.0,0.9999995351072056,0.9999999811748908,4.9566268630008015e-05,0.09090910826801368,10.0,0.3,0.9090909090909091,0.09090911137932381
base,base_a_2_2,затухающие колебания,12,early,0.95,1.0,0.9999995351072056,0.9999999811748908,4.9566268630008015e-05,0.09090910826801368,10.0,0.3,0.9090909090909091,0.09090911137932381
base,base_a_2_2,затухающие колебания,12,early,0.99,1.0,0.9999995351072056,0.9999999811748908,4.9566268630008015e-05,0.09090910826801368,10.0,0.3,0.9090909090909091,0.09090911137932381
base,base_a_2_2,затухающие колебания,13,early,0.8,1.0,0.9999999735830335,0.9999999978403618,2.0020114218051905e-05,0.09090909182125782,10.0,0.2,0.9090909090909091,0.0909090920499866
base,base_a_2_2,затухающие колебания,13,early,0.9,1.0,0.9999999735830335,0.9999999978403618,2.0020114218051905e-05,0.09090909182125782,10.0,0.2,0.9090909090909091,0.0909090920499866
base,base_a_2_2,затухающие колебания,13,early,0.95,1.0,0.9999999735830335,0.9999999978403618,2.0020114218051905e-05,0.09090909182125782,10.0,0.2,0.9090909090909091,0.0909090920499866
base,base_a_2_2,затухающие колебания,13,early,0.99,1.0,0.9999999735830335,0.9999999978403618,2.0020114218051905e-05,0.09090909182125782,10.0,0.2,0.9090909090909091,0.0909090920499866
base,base_a_2_2,затухающие колебания,14,early,0.8,1.0,0.9999999869574722,0.9999999994893713,8.11722339353708e-06,0.09090909139809568,10.0,0.3,0.9090909090909091,0.09090909148697074
base,base_a_2_2,затухающие колебания,14,early,0.9,1.0,0.9999999869574722,0.9999999994893713,8.11722339353708e-06,0.09090909139809568,10.0,0.3,0.9090909090909091,0.09090909148697074
base,base_a_2_2,затухающие колебания,14,early,0.95,1.0,0.9999999869574722,0.9999999994893713,8.11722339353708e-06,0.09090909139809568,10.0,0.3,0.9090909090909091,0.09090909148697074
base,base_a_2_2,затухающие колебания,14,early,0.99,1.0,0.9999999869574722,0.9999999994893713,8.11722339353708e-06,0.09090909139809568,10.0,0.3,0.9090909090909091,0.09090909148697074
base,base_a_2_2,затухающие колебания,15,early,0.8,1.0,0.9999999993127386,0.9999999999440794,3.221487284728782e-06,0.09090909093284182,10.0,0.2,0.9090909090909091,0.09090909093877488
base,base_a_2_2,затухающие колебания,15,early,0.9,1.0,0.9999999993127386,0.9999999999440794,3.221487284728782e-06,0.09090909093284182,10.0,0.2,0.9090909090909091,0.09090909093877488
base,base_a_2_2,затухающие колебания,15,early,0.95,1.0,0.9999999993127386,0.9999999999440794,3.221487284728782e-06,0.09090909093284182,10.0,0.2,0.9090909090909091,0.09090909093877488
base,base_a_2_2,затухающие колебания,15,early,0.99,1.0,0.9999999993127386,0.9999999999440794,3.221487284728782e-06,0.09090909093284182,10.0,0.2,0.9090909090909091,0.09090909093877488
base,base_a_2_2,затухающие колебания,16,early,0.8,1.0,0.9999999996608293,0.9999999999867972,1.3039458043317964e-06,0.09090909092181626,10.0,0.3,0.9090909090909091,0.09090909092413345
