model,case,regime,start,end,stage,true_predictor_count,cond_original,cond_pcr,cond_reduction_ratio,enter_validation_r2,pcr_validation_r2,enter_validation_mae,pcr_validation_mae,enter_true_mass_share,pcr_true_mass_share,enter_support_90,pcr_support_90,enter_pairwise,pcr_pairwise,enter_topk,pcr_topk,enter_false_lag_rate,pcr_false_lag_rate,enter_hit_rate,pcr_hit_rate,retained_components,explained_variance_share,pc1_share,component_dominance,component_true_loading_share
base,base_a_2_2,затухающие колебания,0,25,early,1.0,9461259114994464.0,4.332138981394694,2183969433027860.8,0.9999999999142812,0.9993055022278821,3.353207730316665e-06,0.009366969706490516,0.3751446444694506,0.2754516090163495,3.0,6.0,0.9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,5.0,0.9602788225940563,0.44525353499327536,0.18576284122238818,0.06836001238703102
base,base_a_2_2,затухающие колебания,1,26,early,1.0,1.4881150190787396e+16,3.531108082719638,4214300395847987.0,0.9999999999999976,0.9978571529330031,1.8731431368953128e-08,0.017454807287154206,0.4210033217646133,0.19195718284653135,3.0,7.0,1.0,1.0,1.0,1.0,0.75,0.8333333333333334,1.0,1.0,4.0,0.9512495787959959,0.43504119732321783,0.19217586849482807,0.06542408314881171
base,base_a_2_2,затухающие колебания,2,27,early,1.0,6373779402506293.0,4.329037759047574,1472331672133204.0,1.0,0.9991357201345211,1.96288226413562e-10,0.011735443768995954,0.5009389013120426,0.17200110217736528,2.0,7.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,4.0,0.9637102984329056,0.522630195455773,0.1942938948555006,0.05621740181008982
base,base_a_2_2,затухающие колебания,3,28,early,1.0,1.5627570843592734e+16,3.4077797256393616,4585851229178470.0,1.0,0.9977065000917198,2.9631912294251586e-09,0.020378441099558702,0.48317356571057823,0.13175635655080178,3.0,8.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8571428571428571,1.0,1.0,3.0,0.9516997502539657,0.6103448676950949,0.22381111298914283,0.0527388639071732
base,base_a_2_2,затухающие колебания,4,29,early,1.0,2.5257350683289212e+16,3.999642369356187,6314902271463543.0,0.999999999998703,0.9996644416261914,4.86674918624234e-07,0.007424274906149275,0.402795850642005,0.12692863361908205,3.0,8.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,1.0,3.0,0.9699564933686233,0.6977857027241782,0.26180663754758865,0.05399919847494852
base,base_a_2_2,затухающие колебания,5,30,early,1.0,1.5243319435639748e+16,2.122917703424759,7180362861475381.0,0.9999999999906325,0.9990188865359245,1.3119469076117163e-06,0.013296632097209419,0.4850184829550752,0.10897652267922071,3.0,9.0,1.0,0.7,1.0,0.0,0.6666666666666666,0.8888888888888888,1.0,1.0,2.0,0.9541292313319032,0.7808647637337425,0.2239242836396818,0.06053227507485139
base,base_a_2_2,затухающие колебания,6,31,early,1.0,1.136401807790347e+16,2.8218356115980656,4027172253123485.5,0.9999999969254858,0.9992328266168417,2.3930899917960307e-05,0.011357973446536032,0.44641372824436915,0.09967531705840212,3.0,10.0,1.0,0.6,1.0,0.0,0.75,0.9090909090909091,1.0,1.0,2.0,0.9736452102971804,0.8650128670180145,0.29131493607039294,0.051320844887246315
base,base_a_2_2,затухающие колебания,7,32,early,1.0,6175996633654642.0,3.7306446228136485,1655477071143997.5,0.9999999999679247,0.9999967424275301,2.4455322819213108e-06,0.0007742876787843467,0.4781787746370136,0.09970798714438514,3.0,10.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9,1.0,1.0,2.0,0.9999786677440091,0.9329456771207001,0.37346605203265915,0.06727131169169688
base,base_a_2_2,затухающие колебания,8,33,early,1.0,1.0160743863559288e+16,1.0,1.0160743863559288e+16,0.9999999869135128,0.9999890810970913,4.325488301206345e-05,0.001285840636644997,0.3436290944982947,0.0909142842714154,3.0,10.0,1.0,0.4,1.0,0.0,0.75,0.9090909090909091,1.0,1.0,1.0,0.9998481764226704,0.9998481764226704,0.09091530572230687,0.09091428427141542
base,base_a_2_2,затухающие колебания,9,34,early,1.0,1.9353496313676116e+16,1.0,1.9353496313676116e+16,0.999999964995948,0.9999977202195272,5.4233653391781246e-05,0.0006507261144308626,0.3436548587425488,0.09090988965413088,3.0,10.0,1.0,0.2,1.0,0.0,0.75,0.9090909090909091,1.0,1.0,1.0,0.9999761617245719,0.9999761617245719,0.09091011039747048,0.0909098896541309
base,base_a_2_2,затухающие колебания,10,35,early,1.0,7.232001253784373e+16,1.0,7.232001253784373e+16,0.9999998007289238,0.9999994338037301,0.00019019160214289732,0.0002784633062047533,0.25609550845291124,0.0909095284081582,4.0,10.0,1.0,0.3,1.0,0.0,0.8,0.9090909090909091,1.0,1.0,1.0,0.9999880417665037,0.9999880417665037,0.09090959678420901,0.09090952840815819
base,base_a_2_2,затухающие колебания,11,36,early,1.0,4.92176285002763e+16,1.0,4.92176285002763e+16,0.9999999999987799,0.9999999210604531,4.7159361417821916e-07,0.00012104748447572256,0.20550876738117832,0.09090912317797321,5.0,10.0,1.0,0.2,1.0,0.0,0.8,0.9090909090909091,1.0,1.0,1.0,0.999999060766444,0.999999060766444,0.09090913144308368,0.09090912317797321
base,base_a_2_2,затухающие колебания,12,37,early,1.0,1.4269131285124484e+16,1.0,1.4269131285124484e+16,0.9999999905740364,0.9999999811748908,3.949081931425846e-05,4.9566268630008015e-05,0.2055394173418835,0.09090910826801368,5.0,10.0,1.0,0.3,1.0,0.0,0.8,0.9090909090909091,1.0,1.0,1.0,0.9999995351072056,0.9999995351072056,0.09090911137932381,0.09090910826801368
base,base_a_2_2,затухающие колебания,13,38,early,1.0,3.1513921506584852e+16,1.0,3.1513921506584852e+16,0.99999991359176,0.9999999978403618,0.00012565233973915735,2.0020114218051905e-05,0.2055393228896959,0.09090909182125782,5.0,10.0,1.0,0.2,1.0,0.0,0.8,0.9090909090909091,1.0,1.0,1.0,0.9999999735830335,0.9999999735830335,0.0909090920499866,0.09090909182125782
base,base_a_2_2,затухающие колебания,14,39,early,1.0,1.7106263138576328e+16,1.0,1.7106263138576328e+16,0.9999999901245106,0.9999999994893713,4.1575707269647655e-05,8.11722339353708e-06,0.17046669570948542,0.09090909139809568,6.0,10.0,1.0,0.3,1.0,0.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,0.9999999869574722,0.9999999869574722,0.09090909148697074,0.09090909139809568
base,base_a_2_2,затухающие колебания,15,40,early,1.0,2.3020228804094652e+16,1.0,2.3020228804094652e+16,0.9999999999999267,0.9999999999440794,1.1694297502584661e-07,3.221487284728782e-06,0.18973837398022117,0.09090909093284182,5.0,10.0,0.8,0.2,0.0,0.0,0.8,0.9090909090909091,1.0,1.0,1.0,0.9999999993127386,0.9999999993127386,0.09090909093877488,0.0909090909328418
base,base_a_2_2,затухающие колебания,16,41,early,1.0,1.7253074779409634e+16,1.0,1.7253074779409634e+16,0.9999999999999203,0.9999999999867972,1.1111631043059234e-07,1.3039458043317964e-06,0.1457979976311652,0.09090909092181626,7.0,10.0,1.0,0.3,1.0,0.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.9999999996608293,0.9999999996608293,0.09090909092413345,0.09090909092181626
base,base_a_2_2,затухающие колебания,17,42,early,1.0,1.5669580847071392e+17,1.0,1.5669580847071392e+17,0.9999999999944836,0.9999999999985658,1.0136256499704288e-06,5.159128837658086e-07,0.14579802872732384,0.09090909090970063,7.0,10.0,1.0,0.2,1.0,0.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.99999999998236,0.99999999998236,0.09090909090985282,0.09090909090970063
base,base_a_2_2,затухающие колебания,18,43,early,1.0,8.415789297856053e+16,1.0,8.415789297856053e+16,0.9999999924940168,0.9999999999996615,3.661204016961831e-05,2.08766097816356e-07,0.1457994912377603,0.09090909090941753,7.0,10.0,1.0,0.2,1.0,0.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.9999999999912951,0.9999999999912951,0.09090909090947705,0.09090909090941753
