model,case,regime_family,start,end,true_label,predicted_label,true_tool,recommended_tool,true_regression_admissible,predicted_regression_admissible,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,selected,no_model,b_sum,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate
base,base_a_0_8,growth_no_memory,0,25,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.3875201620006324,0.43284330185852155,2.580243058529596,0.3383519234694001,0.0,0.96,0.9897790798856634,0.959404329736773,2.0,0.8321746206417211,-0.9999999999999998,-0.9892443052172504,0.0017025812834841388,0.9738289008734617,0.9999962080423963,0.9738325936053698,571.9720463980619,['X_n'],0,7.308872227440588e-07,0.9999999999996843,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,1,26,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.4275161316645114,0.44131065703784766,2.3386702291308468,0.34746644095374707,0.0,0.92,0.990005002365,0.9603171718664276,2.0,0.8416113604294437,-1.0,-0.9895371771731618,0.0030592554087717342,0.9923377654404298,0.9999992415969761,0.9923385180329627,324.37231706614693,['X_n'],0,-5.396395863499492e-06,0.9999999999598169,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,2,27,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.46750892591726884,0.44604991828928436,2.138303320466518,0.35321956219030853,0.0,0.88,0.9901315590022579,0.9608329749022895,2.0,0.8466887889790422,-0.9999999999999999,-0.9897264079736221,0.005489272152463121,0.9982320604456831,0.9999998483189351,0.9982322118586081,181.85144272683965,['X_n'],0,-3.1586750992573798e-09,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,3,28,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.5074959663165274,0.44718336615504406,1.9693100882149308,0.35577735382715475,0.0,0.84,0.9901600879333573,0.9609470027399215,2.0,0.8479455775906692,-0.9999999999999999,-0.9898096965888961,0.009824810596592076,0.9996332742443158,0.9999999696637686,0.999633304569423,101.74580613198363,['X_n'],0,5.6274984672199935e-12,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,4,29,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.5474726443351077,0.4447457795359722,1.8246588171631106,0.35521473942718246,0.0,0.8,0.9900901775450273,0.9606537145634899,2.0,0.845542935507696,-0.9999999999999999,-0.9897865727683416,0.017506232413529707,0.9999260828327551,0.999999993932753,0.9999260888995537,57.118291315495235,['X_n'],0,4.529709940470639e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,5,30,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.5874306760349259,0.4386915333500924,1.6991150596131097,0.3515281254875945,0.0,0.76,0.9899182506413053,0.9599370094931852,2.0,0.8393198004434178,-1.0,-0.9896544601082735,0.03094799877627966,0.9999851932692501,0.9999999987865505,0.9999851944826815,32.311788574700884,['X_n'],0,-7.105427357601002e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,6,31,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.6273551683989423,0.42889440507960014,1.588581807366181,0.34463933187334944,0.0,0.72,0.989636985666984,0.9587668777612054,2.0,0.8287848521758708,-0.9999999999999998,-0.9894072446955853,0.053964254201014764,0.9999970377185434,0.9999999997573101,0.9999970379612326,18.53073024957582,['X_n'],0,5.0209836288672705e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,7,32,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.6672193686977367,0.41514186854279356,1.489612383710628,0.33439346235116596,0.0,0.68,0.9892351668439603,0.9570995064674513,2.0,0.8130545678812148,-1.0,-0.9890348544593619,0.09193361056485214,0.9999994075062689,0.999999999951462,0.9999994075548069,10.877408179251763,['X_n'],0,-9.520681497950795e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,8,33,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.7069752980698394,0.39712579321811026,1.3989832596531364,0.3205529085902092,0.0,0.64,0.9886981838890686,0.9548820795747914,2.0,0.7907365844801317,-1.0,-0.988523694928802,0.15084550198756283,0.9999998814997559,0.9999999999902924,0.9999998815094635,6.6292986421445015,['X_n'],0,-2.9933475023980254e-09,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,9,34,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.7465371623496696,0.37443348391679476,1.3132365319401587,0.3027910446993692,0.0,0.6,0.9880101380595521,0.9520680437920738,2.0,0.759759022977365,-0.9999999999999999,-0.9878587625884157,0.23409984996974265,0.9999999762998912,0.9999999999980584,0.9999999763018328,4.2716814061569925,['X_n'],0,-0.00015442741329277953,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,10,35,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.7857523573116729,0.34654870314660347,1.228111788383101,0.28069368611357226,0.0,0.56,0.9871599551132244,0.9486572058887857,2.0,0.7171737077671234,-0.9999999999999998,-0.9870297834597586,0.33813837485870524,0.9999999952599758,0.9999999999996116,0.9999999952603642,2.9573691411920833,['X_n'],0,-0.2234389844123553,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,11,36,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.8243520266222564,0.3128857358944688,1.1378216486462034,0.25378727963031894,0.0,0.52,0.9861571273919485,0.9447938821673004,2.0,0.6590574258219293,-0.9999999999999998,-0.9860469724593611,0.4528680274889018,0.999999999051995,0.9999999999999223,0.9999999990520727,2.208148816768703,['X_n'],0,-0.04254657575945874,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,12,37,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.8618706499021058,0.27290804238622657,1.0342812612404657,0.2216360550930484,0.0,0.48,0.9850699535675547,0.9409973883577586,2.0,0.5808954626322134,-0.9999999999999998,-0.9849792596985085,0.5687125076477717,0.999999999810399,0.9999999999999845,0.9999999998104145,1.7583576699349512,['X_n'],0,-0.006621627958418695,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,13,38,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.8975273164143819,0.22643524329732517,0.9069164258945054,0.184093078426951,0.0,0.44,0.9841144749514259,0.9386745404023006,2.0,0.47937200585697737,-0.9999999999999997,-0.9840431602687709,0.6798467811517899,0.9999999999620798,0.9999999999999969,0.9999999999620829,1.4709196655574208,['X_n'],0,-0.0010435136806060603,1.0,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,14,39,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.9300866070521908,0.17430720755020318,0.7449307960724332,0.14184343677109829,0.0,0.4,0.983845465744528,0.9410679809605296,2.0,0.3570317870166474,-0.9999999999999998,-0.9837936406848294,0.7815354538067664,0.999999999992416,0.9999999999999993,0.9999999999924166,1.2795324832949482,['X_n'],0,-0.00095823538806481,0.999999999998129,1.0,1.0,0.0,0.0
base,base_a_0_8,growth_no_memory,15,40,growth_no_memory,growth_with_memory,direct_identification,regression,1,1,0.9578006133164986,0.11953427667622488,0.5456282817788274,0.09734558298712766,0.0,0.36,0.9854535830371183,0.9535774827271678,2.0,0.22953701611375257,-1.0,-0.9854211090504437,0.8681298789030989,0.9999999999984832,0.9999999999999999,0.9999999999984833,1.1519013736308732,['X_n'],0,-0.0001539671737479303,0.999999999999982,1.0,1.0,0.0,0.0
