var_omega_band,cond_scaled_band,windows,degraded_share,false_lag_rate,no_model_share,mean_pairwise_beta
Q1,Q1,52,1.0,0.0,1.0,0.3408119658119658
Q1,Q2,25,1.0,0.4612380952380953,0.0,0.20622222222222222
Q1,Q3,130,1.0,0.7099608724608724,0.03076923076923077,0.2777777777777778
Q1,Q4,142,1.0,0.09319960165030589,0.8943661971830986,0.04021909233176839
Q2,Q1,48,0.020833333333333332,0.010416666666666666,0.0,0.9756944444444445
Q2,Q2,181,0.6519337016574586,0.13477553753796848,0.0,0.731184775936157
Q2,Q3,96,0.15625,0.03125,0.0,1.0
Q2,Q4,24,0.041666666666666664,0.013888888888888888,0.0,1.0
Q3,Q1,224,0.9151785714285714,0.7833681199752628,0.0,0.3958829365079365
Q3,Q2,43,0.06976744186046512,0.050387596899224806,0.0,0.9922480620155039
Q3,Q3,62,0.04838709677419355,0.04838709677419355,0.0,1.0
Q3,Q4,19,0.05263157894736842,0.05263157894736842,0.0,1.0
Q4,Q1,25,0.12,0.06,0.0,0.9
Q4,Q2,100,0.01,0.005,0.0,0.95
Q4,Q3,60,0.016666666666666666,0.008333333333333333,0.0,1.0
Q4,Q4,164,0.07317073170731707,0.036585365853658534,0.0,1.0
