model,case,regime,start,end,stage,var_x,var_omega,mean_x,mean_omega,cond_raw,cond_scaled,max_vif,mean_vif,infinite_vif_share,selected_count,false_lag_count,false_lag_rate,hit_rate,no_model,degenerate_window,failure_type,degraded_window,R2_enter,pairwise_b,pairwise_beta,correct_top_b,correct_top_beta,true_beta_mass_share,true_b_mass_share,beta_scale_gap,log10_var_x,log10_var_omega,log10_cond_raw,log10_cond_scaled,var_omega_band,cond_scaled_band
base,base_a_0_8,устойчивое насыщение,0,25,early,0.15005401859767553,0.09603457190251237,0.6174152623395506,0.30606779012835966,2945868937015042.0,816249154998170.9,46188159922.98379,46188159922.98379,0.9090909090909091,1.0,0.0,0.0,1.0,0,0,stable,0,0.9999999999996843,1.0,1.0,1.0,1.0,0.925086912751823,0.9999864898899786,0.025542609485135225,-0.8237523692399588,-1.0175723952560716,15.469213420986813,14.9118227446907,Q2,Q2
base,base_a_0_8,устойчивое насыщение,1,26,early,0.1315294373887818,0.08417883992882036,0.6863429723971978,0.25092562208224184,2406333383054.068,934541190058.6754,40697445135.07978,20389543965.51889,0.8181818181818182,1.0,0.0,0.0,1.0,0,0,stable,0,0.9999999999598169,1.0,1.0,1.0,1.0,0.999970744626875,0.9998302505606863,0.018191506034265167,-0.8809770375562439,-1.0747970635723567,12.381355796067265,11.970598447738356,Q2,Q2
base,base_a_0_8,устойчивое насыщение,2,27,early,0.10622785150803946,0.06798582496514527,0.753340459796714,0.19732763216262875,1749032557.9379482,882397769.8721154,123332227718.54793,31807878145.57793,0.6363636363636364,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999832428447,0.9999999631279493,0.018181819596760948,-0.9737616021769259,-1.1675816281930387,9.242797893870437,8.945664401819421,Q2,Q3
base,base_a_0_8,устойчивое насыщение,3,28,early,0.0768257295634733,0.04916846692062293,0.8170130677342743,0.1463895458125807,1679078.714484901,981485.2810432606,39906954895.73112,9587587475.464123,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999120135,0.999999999967244,0.01818181818743181,-1.1144933068426714,-1.3083133328587842,6.225071056153016,5.991883791037784,Q2,Q3
base,base_a_0_8,устойчивое насыщение,4,29,early,0.047397363503511016,0.030334312642247063,0.8751546559920592,0.09987627520635277,22104.527296628024,12541.950675984424,4219269.324751875,1724268.4372945959,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999995142,0.9999999999984823,0.01818181818189236,-1.3242458154508538,-1.5180658414669665,4.3444812319919,4.098365088482872,Q2,Q3
base,base_a_0_8,устойчивое насыщение,5,30,early,0.023016522415055172,0.014730574345635319,0.9246439524592344,0.06028483803261272,16294.773565756397,8757.62974322474,2168104.5454641455,861730.2897416577,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999992504,0.9999999999996247,0.018181818181863818,-1.637960293653319,-1.8317803196694316,4.212048329831799,3.9423865800575784,Q2,Q3
base,base_a_0_8,устойчивое насыщение,6,31,early,0.007740841141385145,0.004954138330486495,0.9619727454390299,0.0304218036487762,17124.083806751347,8550.677701413619,2081654.696089067,825792.7020771403,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999977827,0.9999999999985811,0.018181818181920537,-2.111211845103422,-2.305031871119535,4.233607344642334,3.9320005369878754,Q2,Q3
base,base_a_0_8,устойчивое насыщение,7,32,early,0.0015106447672303838,0.0009668126510274454,0.9850450185031422,0.011963985197486423,20667.190307518154,21423.496127454153,11882540.207974855,4820353.8333306005,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985629,0.9999999999986984,0.01818181818190414,-2.8208376493402656,-3.0146576753563785,4.315281438558493,4.330890345345696,Q2,Q3
base,base_a_0_8,устойчивое насыщение,8,33,early,0.00014903835221084924,9.538454541494366e-05,0.9956215667095872,0.0035027466323304082,86505.48660189155,19781569.20910485,744704361698.3044,123060540649.67528,0.36363636363636365,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.999999995317312,0.9999999920381569,0.018181818954492026,-3.826701959706631,-4.020521985722743,4.937043653422731,7.29626073983062,Q2,Q3
base,base_a_0_8,устойчивое насыщение,9,34,early,8.363561965345854e-06,5.352679657821303e-06,0.998989746117686,0.000808203105851321,238174995.80771905,1456995682209.9631,490962567030.4694,164697059607.16577,0.7272727272727273,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9979878437286586,0.9997462896295265,0.01846825027663271,-5.077608721073736,-5.271428747089853,8.376896166245315,12.163458264745168,Q2,Q2
base,base_a_0_8,устойчивое насыщение,10,35,early,3.646683302092807e-07,2.3338773133395142e-07,0.9997904418836396,0.00016764649308839366,33593850034930.887,31339489284152.543,367385865103.4381,123300454372.50706,0.7272727272727273,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,0.9,0.8,0.0,0.0,0.1274599395466485,0.18187360313790543,0.214704354435922,-6.438101951554802,-6.631921977570892,13.526259779164947,13.49609191482301,Q2,Q2
base,base_a_0_8,устойчивое насыщение,11,36,early,1.4856839308446876e-08,9.508377157404441e-09,0.9999577615103804,3.379079169565107e-05,8.078801537487522e+16,59884710348513.26,252805278136.93878,84912707471.48878,0.7272727272727273,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,0.9,0.9,0.0,0.0,0.23816656837693356,0.25181852401602783,0.1317937717638632,-7.828073573947137,-8.021893599963322,16.90734693945526,13.777315953292785,Q2,Q2
