start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold,center_date
0,24,1.3135484440688504e-05,8.90272857463098,0.3005339003318919,plateau_degenerate,do_not_read_regression,101.306125,0.5321002656533176,0.0219631340158356,0.0036242908879791,0.4545454545454545,1.0,0.7391227000829826,0.4191294094893079,18.0,0.0753487195336516,-0.4795724695209203,-0.4318072099141692,101.00275,101.3315,102.226,0.9912497798994384,1.0032548618725727,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-01-01
1,25,1.275026720089144e-05,3.9199764987659176,0.2631313648848423,plateau_degenerate,do_not_read_regression,101.35683333333331,0.4581593306069632,0.0175617167729194,0.003570751629684,0.4545454545454545,1.0,0.6729705802857319,0.3141915192418717,2.0,0.2712735931722408,-0.4844323243443552,-0.442462804041208,101.217875,101.217875,102.226,0.9901382720638586,1.0000000000000002,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-02-01
2,26,1.2478107685179372e-05,3.80420950143319,0.2466008847286266,plateau_degenerate,do_not_read_regression,101.392375,0.417395177709324,0.0147348358296173,0.0035324365083012,0.4545454545454545,1.0,0.6251850542656932,0.2682050391545642,19.0,0.201278272909861,-0.4589236710983317,-0.4079374642253031,101.331875,101.102,102.226,0.9890047541721284,0.9977314640630108,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-03-01
3,27,1.209236815612574e-05,3.953083552563535,0.2510656668815582,plateau_degenerate,do_not_read_regression,101.41870833333331,0.3941931082568801,0.0143366053846902,0.0034774082527258,0.4090909090909091,1.0,0.6067956907261656,0.2034670397489211,18.0,0.1445483113322997,-0.4824875367885582,-0.4574169997529981,101.414375,101.12825,102.226,0.9892615381605464,0.9971786544067348,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-04-01
4,28,1.2064180185795494e-05,4.184237936765675,0.2650544732528379,plateau_degenerate,do_not_read_regression,101.4355,0.3868575319158183,0.0143342320982298,0.0034733528737799,0.3636363636363636,1.0,0.5870918177706783,0.1687266160242103,18.0,0.0895572148860917,-0.4860294632167714,-0.4574950114294389,101.489625,101.12225,102.226,0.9892028446774794,0.9963801718648584,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-05-01
5,29,1.2088395349743293e-05,4.2275848782341106,0.2980166393986594,plateau_degenerate,do_not_read_regression,101.46204166666666,0.3751351400014233,0.0143304823766194,0.0034768369748585,0.3636363636363636,1.0,0.5627390828471684,0.2087973989009868,18.0,0.0082515485657755,-0.4471005581058168,-0.405105939401416,101.597125,101.178125,102.226,0.9897494277385402,0.995875867550386,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-06-01
6,30,1.0597184928452338e-05,4.2688928203480865,0.3163416165243895,plateau_degenerate,do_not_read_regression,101.47424999999998,0.3670205773068662,0.0143287582810416,0.0032553317693366,0.4090909090909091,1.0,0.604793519487123,0.3013385893343226,9.0,0.00401387098915,-0.4962856621251544,-0.3726388055170069,101.6625,101.252625,102.226,0.9904782051532878,0.9959682773884176,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-07-01
7,31,1.010833733232186e-05,4.0825238359051905,0.3223767926162648,plateau_degenerate,do_not_read_regression,101.45875,0.3643289779398085,0.0143309473061711,0.0031793611516029,0.3636363636363636,1.0,0.5999924231676104,0.2796641717200483,9.0,0.0236925214269174,-0.4682918094223793,-0.3557864538218347,101.639625,101.318625,102.226,0.991123833467024,0.9968417829168496,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-08-01
8,32,1.1312403802850176e-05,4.014249435364324,0.3280915168129723,plateau_degenerate,do_not_read_regression,101.45508333333332,0.3589136289632293,0.0143314652379007,0.0033633917111823,0.4090909090909091,1.0,0.5402112201003443,0.2828902853917694,15.0,0.0635018599795691,-0.4320452193755469,-0.2980596013326114,101.584125,101.449625,102.226,0.9924053078473186,0.9986759742233344,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-09-01
9,33,1.12607827687616e-05,4.015314792412384,0.325480219011354,plateau_degenerate,do_not_read_regression,101.44995833333331,0.3559314633426237,0.0143321892279403,0.003355708981536,0.4090909090909091,0.9583333333333334,0.5565409269342141,0.2877997984246099,15.0,0.1538464393883775,-0.4684140029608925,-0.2848280591336305,101.63475,101.49725,102.226,0.9928711873691626,0.998647116266828,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-10-01
10,34,1.2787154642717468e-05,3.949636468510537,0.3193067985264426,plateau_degenerate,do_not_read_regression,101.48608333333334,0.3873739490323115,0.0143270875399171,0.0035759131201299,0.4545454545454545,0.9583333333333334,0.5421564077365153,0.3763732191526258,16.0,0.1922026899834811,-0.4075484057482278,-0.1475394628948388,101.74325,101.613,102.226,0.9940034824799951,0.9987198167937432,06,Добыча сырой нефти и природного,adj_unsmoothed,24,6,plateau_degenerate,1.3026372466563196e-05,15.876474564777798,0.816924066668326,2014-11-01
