series_code,window,variants,regime_consistency,interpretability_consistency,tool_consistency,top_beta_consistency,top_b_consistency,reading_mode_consistency
05,24,1,0.9548872180451128,0.7894736842105263,0.8646616541353384,0.40601503759398494,0.39849624060150374,0.7819548872180451
06,24,1,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.5939849624060151,0.6090225563909775,0.7518796992481203
06.1,24,1,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.5939849624060151,0.6090225563909775,0.7518796992481203
06.2,24,1,0.9699248120300752,0.8045112781954887,0.8646616541353384,0.43609022556390975,0.42105263157894735,0.7744360902255639
07,24,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7894736842105263,0.7819548872180451,0.8571428571428571
07.1,24,1,0.6766917293233082,0.6766917293233082,0.6766917293233082,0.8345864661654135,0.8421052631578947,0.6766917293233082
07.2,24,1,0.8721804511278195,0.706766917293233,0.8270676691729323,0.8045112781954887,0.8045112781954887,0.706766917293233
08,24,1,1.0,0.7669172932330827,0.8947368421052632,0.9548872180451128,0.9624060150375939,0.7669172932330827
08.1,24,1,1.0,0.8045112781954887,0.8947368421052632,0.9548872180451128,0.9473684210526315,0.8045112781954887
08.9,24,1,1.0,0.6917293233082706,0.8947368421052632,0.9097744360902256,0.8947368421052632,0.6917293233082706
09,24,1,1.0,0.7669172932330827,0.8947368421052632,0.6090225563909775,0.6165413533834586,0.7669172932330827
10,24,1,0.6842105263157895,0.556390977443609,0.6616541353383458,0.8796992481203008,0.8796992481203008,0.556390977443609
11,24,1,1.0,0.7819548872180451,0.8947368421052632,0.7969924812030075,0.7894736842105263,0.7819548872180451
12,24,1,1.0,0.7669172932330827,0.8947368421052632,1.0,1.0,0.7669172932330827
13,24,1,1.0,0.7744360902255639,0.8947368421052632,0.9022556390977443,0.8646616541353384,0.7744360902255639
14,24,1,1.0,0.7443609022556391,0.8947368421052632,0.8646616541353384,0.849624060150376,0.7443609022556391
15,24,1,1.0,0.8120300751879699,0.8947368421052632,0.9849624060150376,0.9774436090225563,0.8120300751879699
16,24,1,1.0,0.8195488721804511,0.8947368421052632,0.9097744360902256,0.8947368421052632,0.8195488721804511
17,24,1,0.6240601503759399,0.5413533834586466,0.6240601503759399,0.6390977443609023,0.6165413533834586,0.5413533834586466
18,24,1,1.0,0.8270676691729323,0.8947368421052632,0.9473684210526315,0.9172932330827067,0.8270676691729323
19,24,1,0.5789473684210527,0.45112781954887216,0.5714285714285714,0.6090225563909775,0.6090225563909775,0.45112781954887216
20,24,1,0.7744360902255639,0.631578947368421,0.7518796992481203,0.6466165413533834,0.6390977443609023,0.631578947368421
21,24,1,1.0,0.8421052631578947,0.8947368421052632,0.9022556390977443,0.9022556390977443,0.8421052631578947
22.1,24,1,1.0,0.7894736842105263,0.8947368421052632,0.8345864661654135,0.8045112781954887,0.7894736842105263
22.2,24,1,0.7744360902255639,0.7593984962406015,0.706766917293233,0.7142857142857143,0.706766917293233,0.6466165413533834
23,24,1,0.9774436090225563,0.7293233082706767,0.8721804511278195,0.5789473684210527,0.5639097744360902,0.7142857142857143
24,24,1,0.924812030075188,0.7218045112781954,0.8421052631578947,0.7218045112781954,0.7293233082706767,0.7218045112781954
25,24,1,1.0,0.7142857142857143,0.8947368421052632,0.7744360902255639,0.7819548872180451,0.7142857142857143
26,24,1,1.0,0.7969924812030075,0.8947368421052632,0.9548872180451128,0.9323308270676691,0.7969924812030075
27,24,1,0.9849624060150376,0.7894736842105263,0.8947368421052632,0.8872180451127819,0.8646616541353384,0.7894736842105263
28,24,1,1.0,0.7744360902255639,0.8947368421052632,0.9699248120300752,0.9624060150375939,0.7744360902255639
29,24,1,1.0,0.7368421052631579,0.8947368421052632,0.7518796992481203,0.6917293233082706,0.7368421052631579
30.2,24,1,1.0,0.7819548872180451,0.8947368421052632,0.8120300751879699,0.7744360902255639,0.7819548872180451
31,24,1,1.0,0.8195488721804511,0.8947368421052632,0.8796992481203008,0.8571428571428571,0.8195488721804511
32.1,24,1,1.0,0.7142857142857143,0.8947368421052632,0.6842105263157895,0.6766917293233082,0.7142857142857143
33,24,1,1.0,0.7368421052631579,0.8947368421052632,0.9849624060150376,0.9849624060150376,0.7368421052631579
"35.1+35.3 Производство, передача и",24,1,0.9022556390977443,0.6842105263157895,0.8120300751879699,0.7744360902255639,0.7744360902255639,0.6842105263157895
35.2,24,1,1.0,0.7819548872180451,0.8947368421052632,0.8421052631578947,0.7969924812030075,0.7819548872180451
36,24,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8421052631578947,0.8270676691729323,0.8571428571428571
37,24,1,0.8045112781954887,0.6165413533834586,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.6165413533834586
38,24,1,0.9849624060150376,0.6992481203007519,0.8796992481203008,0.5037593984962406,0.48120300751879697,0.6992481203007519
39,24,1,0.9924812030075187,0.8270676691729323,0.8947368421052632,0.7669172932330827,0.7819548872180451,0.8270676691729323
B,24,1,0.7593984962406015,0.7593984962406015,0.7593984962406015,0.518796992481203,0.5413533834586466,0.7593984962406015
C,24,1,0.5112781954887218,0.5112781954887218,0.5112781954887218,0.849624060150376,0.8195488721804511,0.5112781954887218
D,24,1,0.9473684210526315,0.6992481203007519,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.6992481203007519
E,24,1,0.8947368421052632,0.7368421052631579,0.8721804511278195,0.5263157894736842,0.518796992481203,0.7368421052631579
ПРОМ,24,1,0.849624060150376,0.849624060150376,0.849624060150376,0.6466165413533834,0.6390977443609023,0.849624060150376
