series_code,window,variants,regime_consistency,interpretability_consistency,tool_consistency,top_beta_consistency,top_b_consistency,reading_mode_consistency
05,24,1,0.9548872180451128,0.7819548872180451,0.8646616541353384,0.3233082706766917,0.3383458646616541,0.7744360902255639
06,24,1,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.6090225563909775,0.518796992481203,0.7518796992481203
06.1,24,1,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.6090225563909775,0.518796992481203,0.7518796992481203
06.2,24,1,0.9699248120300752,0.7669172932330827,0.8646616541353384,0.3082706766917293,0.2857142857142857,0.7368421052631579
07,24,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8195488721804511,0.8421052631578947,0.8571428571428571
07.1,24,1,0.6766917293233082,0.6766917293233082,0.6766917293233082,0.6165413533834586,0.6466165413533834,0.6766917293233082
07.2,24,1,0.8721804511278195,0.7142857142857143,0.8270676691729323,0.8270676691729323,0.8195488721804511,0.7142857142857143
08,24,1,1.0,0.7819548872180451,0.8947368421052632,0.8120300751879699,0.7669172932330827,0.7819548872180451
08.1,24,1,1.0,0.7744360902255639,0.8947368421052632,0.8646616541353384,0.8721804511278195,0.7744360902255639
08.9,24,1,1.0,0.6917293233082706,0.8947368421052632,0.8646616541353384,0.8195488721804511,0.6917293233082706
09,24,1,1.0,0.7593984962406015,0.8947368421052632,0.6165413533834586,0.5714285714285714,0.7593984962406015
10,24,1,0.6842105263157895,0.5714285714285714,0.6616541353383458,0.8872180451127819,0.8947368421052632,0.5714285714285714
11,24,1,1.0,0.7894736842105263,0.8947368421052632,0.849624060150376,0.7894736842105263,0.7894736842105263
12,24,1,1.0,0.7293233082706767,0.8947368421052632,0.9699248120300752,0.9548872180451128,0.7293233082706767
13,24,1,1.0,0.7744360902255639,0.8947368421052632,0.9398496240601504,0.8872180451127819,0.7744360902255639
14,24,1,1.0,0.7218045112781954,0.8947368421052632,0.7744360902255639,0.7744360902255639,0.7218045112781954
15,24,1,1.0,0.8270676691729323,0.8947368421052632,0.8796992481203008,0.8646616541353384,0.8270676691729323
16,24,1,1.0,0.8195488721804511,0.8947368421052632,0.8947368421052632,0.8571428571428571,0.8195488721804511
17,24,1,0.6240601503759399,0.5263157894736842,0.6240601503759399,0.5413533834586466,0.5112781954887218,0.5263157894736842
18,24,1,1.0,0.7969924812030075,0.8947368421052632,0.7142857142857143,0.7368421052631579,0.7969924812030075
19,24,1,0.5789473684210527,0.5112781954887218,0.5714285714285714,0.48872180451127817,0.47368421052631576,0.5112781954887218
20,24,1,0.7744360902255639,0.6165413533834586,0.7518796992481203,0.6992481203007519,0.6390977443609023,0.6165413533834586
21,24,1,1.0,0.8421052631578947,0.8947368421052632,0.7518796992481203,0.7669172932330827,0.8421052631578947
22.1,24,1,1.0,0.7894736842105263,0.8947368421052632,0.6917293233082706,0.7368421052631579,0.7894736842105263
22.2,24,1,0.7744360902255639,0.7293233082706767,0.706766917293233,0.6466165413533834,0.6616541353383458,0.6165413533834586
23,24,1,0.9774436090225563,0.7443609022556391,0.8721804511278195,0.47368421052631576,0.48120300751879697,0.7293233082706767
24,24,1,0.924812030075188,0.706766917293233,0.8421052631578947,0.6165413533834586,0.6015037593984962,0.706766917293233
25,24,1,1.0,0.6842105263157895,0.8947368421052632,0.6616541353383458,0.631578947368421,0.6842105263157895
26,24,1,1.0,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.849624060150376,0.7894736842105263
27,24,1,0.9849624060150376,0.7969924812030075,0.8947368421052632,0.8345864661654135,0.7894736842105263,0.7969924812030075
28,24,1,1.0,0.7669172932330827,0.8947368421052632,0.9624060150375939,0.9097744360902256,0.7669172932330827
29,24,1,1.0,0.7669172932330827,0.8947368421052632,0.6842105263157895,0.6466165413533834,0.7669172932330827
30.2,24,1,1.0,0.7819548872180451,0.8947368421052632,0.5864661654135338,0.5789473684210527,0.7819548872180451
31,24,1,1.0,0.8120300751879699,0.8947368421052632,0.7894736842105263,0.7744360902255639,0.8120300751879699
32.1,24,1,1.0,0.7443609022556391,0.8947368421052632,0.631578947368421,0.6616541353383458,0.7443609022556391
33,24,1,1.0,0.7142857142857143,0.8947368421052632,0.8947368421052632,0.8646616541353384,0.7142857142857143
"35.1+35.3 Производство, передача и",24,1,0.9022556390977443,0.6691729323308271,0.8120300751879699,0.6691729323308271,0.6842105263157895,0.6691729323308271
35.2,24,1,1.0,0.7744360902255639,0.8947368421052632,0.7443609022556391,0.7142857142857143,0.7744360902255639
36,24,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6992481203007519,0.706766917293233,0.8571428571428571
37,24,1,0.8045112781954887,0.5939849624060151,0.7293233082706767,0.5338345864661654,0.5413533834586466,0.5939849624060151
38,24,1,0.9849624060150376,0.7142857142857143,0.8796992481203008,0.3609022556390977,0.3157894736842105,0.7142857142857143
39,24,1,0.9924812030075187,0.7819548872180451,0.8947368421052632,0.6015037593984962,0.6015037593984962,0.7819548872180451
B,24,1,0.7593984962406015,0.7593984962406015,0.7593984962406015,0.47368421052631576,0.45112781954887216,0.7593984962406015
C,24,1,0.5112781954887218,0.5112781954887218,0.5112781954887218,0.7744360902255639,0.7518796992481203,0.5112781954887218
D,24,1,0.9473684210526315,0.6766917293233082,0.8421052631578947,0.6766917293233082,0.6842105263157895,0.6766917293233082
E,24,1,0.8947368421052632,0.7518796992481203,0.8721804511278195,0.38345864661654133,0.37593984962406013,0.7518796992481203
ПРОМ,24,1,0.849624060150376,0.849624060150376,0.849624060150376,0.5488721804511278,0.5714285714285714,0.849624060150376
