start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold
0,24,0.00038309724745303435,2.844598116452438,0.3496561178250182,turbulent_informative,phase_short_forecast,104.66195833333335,3.3039968532971113,0.1312988999903259,0.019572870189449334,0.36363636363636365,1.0,0.7803573144379115,0.39077233421457064,8.0,0.13668406484156004,-0.11545744285944551,-0.2533054955344379,103.383625,107.23474999999999,113.883,0.9416221033868092,1.037250821878223,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
1,25,0.0004113264395507278,3.7868769023326014,0.4246673245920303,turbulent_informative,phase_short_forecast,105.12641666666666,3.449427548118994,0.13071880917974146,0.02028118437248495,0.4090909090909091,1.0,0.7981386021476046,0.49873659025838096,19.0,0.05986712355950853,-0.2352344031965131,-0.3480171335744049,103.354,108.41775000000001,113.883,0.9520099575880511,1.0489942334113824,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
2,26,0.0004155679373424558,5.031133274993716,0.5660504016428107,turbulent_informative,phase_short_forecast,105.513875,3.515334340577246,0.13023879560863433,0.02038548349543017,0.4090909090909091,1.0,0.8112271127654554,0.5855169910731551,19.0,0.0013149224312624054,-0.2192132703712506,-0.29703562623568935,103.441375,109.102875,113.883,0.9580260003687996,1.054731484379437,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
3,27,0.0004182272824908438,5.851148307806883,0.6607604741622785,turbulent_informative,phase_short_forecast,105.69324999999999,3.4642395419726184,0.1300177636698653,0.020450605919894983,0.4090909090909091,1.0,0.8121938703863762,0.5827642075490906,2.0,0.5556246819469858,-0.3035276306874572,-0.3993456637097827,103.54575,109.24700000000001,113.883,0.9592915536120405,1.0550602028571914,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
4,28,0.0004221419164180311,6.025282228191162,0.6705481328778101,turbulent_informative,phase_short_forecast,105.67058333333334,3.4620201943935682,0.13004565288195144,0.020546092485385904,0.36363636363636365,1.0,0.8105404260291678,0.5579224968643752,2.0,0.5559107613933191,-0.30713415256891863,-0.40796256884515064,103.349,109.2765,113.883,0.9595505913964332,1.0573542075878817,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
5,29,0.00042205073099664666,6.063208264480517,0.678542343893143,turbulent_informative,phase_short_forecast,105.64812500000001,3.4583715979308804,0.13007329756207212,0.020543873320205387,0.4090909090909091,1.0,0.8102299388758993,0.5694692122236377,2.0,0.5643306867077668,-0.3085959030175216,-0.4076808180013375,102.84825000000001,109.292,113.883,0.9596866959950124,1.0626529863172198,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
6,30,0.00039287513059861433,5.872088474726017,0.6828759726782332,turbulent_informative,phase_short_forecast,105.62541666666668,3.4562321357786256,0.13010126192796073,0.01982107793735281,0.45454545454545453,1.0,0.821760937770328,0.6142372142109306,2.0,0.5762438673580877,-0.3757845331842994,-0.4199197215099463,102.88387499999999,109.0205,113.883,0.9573026702844147,1.0596461301637405,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
7,31,0.0003996685559479643,5.495791118183721,0.6668872599995987,turbulent_informative,phase_short_forecast,105.88025,3.517053907391809,0.12978813329209168,0.019991712181500722,0.5,1.0,0.8107158192872953,0.6044511419867505,7.0,0.04825967774334304,-0.3974834813924144,-0.39876892433014033,103.01737500000002,108.72075000000001,113.883,0.9546705829667291,1.0553632336292784,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
8,32,0.0003980244597587857,5.0221800292779015,0.6275288059455588,turbulent_informative,phase_short_forecast,106.26845833333334,3.4059290213191287,0.12931400544924931,0.01995055036230293,0.45454545454545453,1.0,0.796126068543916,0.5463027715376991,7.0,0.08150506480505856,-0.36992321861389643,-0.3742116157691665,103.3675,108.203125,113.883,0.9501253479448206,1.046780903088495,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
9,33,0.00045250544642407427,4.547248182469515,0.5957443164474726,turbulent_informative,phase_short_forecast,106.86325000000001,3.5281870846323695,0.11654146771691852,0.021272175404130022,0.45454545454545453,1.0,0.7691111098088653,0.5407705375391696,9.0,0.10417118769342955,-0.2444127584200639,-0.24493384672273785,103.60750000000002,108.5645,114.416,0.9488576772479373,1.047844026735516,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
10,34,0.0004503909457161627,4.181628349491856,0.5603420283696515,turbulent_informative,phase_short_forecast,107.38666666666666,3.690326190039152,0.11605723863918545,0.021222416114009327,0.45454545454545453,1.0,0.7976993497046031,0.552145302874793,9.0,0.15335280074113888,-0.2205213242022508,-0.2313689147430249,103.99737499999999,109.05975000000001,114.524,0.9522872934930671,1.0486779113415123,05,Добыча угля,adj_unsmoothed,24,3,interpretable,0.0002661188779000506,6.332175360559282,0.7415546714894172
