variant,window,interpretability_label,window_share
adj_smoothed,24,collinearity_heavy,0.055831067029275316
adj_smoothed,24,interpretable,0.3538633818589026
adj_smoothed,24,low_dispersion,0.011518157094864822
adj_smoothed,24,plateau_degenerate,0.5787873940169573
adj_unsmoothed,24,collinearity_heavy,0.10430331147016478
adj_unsmoothed,24,interpretable,0.6490161574148137
adj_unsmoothed,24,low_dispersion,0.07390817469204927
adj_unsmoothed,24,plateau_degenerate,0.1727723564229723
raw,24,collinearity_heavy,0.11518157094864821
raw,24,interpretable,0.7792353223484243
raw,24,low_dispersion,0.10462326027835546
raw,24,plateau_degenerate,0.0009598464245720685
