series_code,series_name,variant,windows,interpretable_share,mean_r2,mean_b_sum,mean_selected_count,dominant_mode,dominant_top_beta,dominant_top_b
13,Производство текстильных издели,adj_unsmoothed,363,0.8181818181818182,0.5991123650382639,0.0020016083716595996,0.9807162534435262,phase_caution,X_n,X_n
16,Обработка древесины и производс,adj_unsmoothed,363,0.8181818181818182,0.5215721739035378,0.003659673562489801,0.581267217630854,phase_caution,X_n,X_n
39,Предоставление услуг в области,adj_unsmoothed,363,0.8181818181818182,0.4181141530167176,-0.00012982357627152404,0.5151515151515151,phase_caution,X_n,X_n
30.2,Производство железнодорожных,adj_unsmoothed,363,0.8154269972451791,0.4541696206695663,0.0037727994367334557,0.5206611570247934,phase_caution,X_n,X_n
31,Производство мебели,adj_unsmoothed,363,0.8126721763085399,0.4284082387424598,0.003544432629402285,0.15977961432506887,phase_caution,X_n,X_n
21,Производство лекарственных сред,adj_unsmoothed,363,0.7988980716253443,0.434147709401349,0.0007578916860249099,0.4820936639118457,phase_caution,X_n,X_n
15,Производство кожи и изделий из,adj_unsmoothed,363,0.7933884297520661,0.5545532073111709,0.006985688124471582,0.7052341597796143,phase_caution,X_n,X_n
05,Добыча угля,adj_unsmoothed,363,0.7933884297520661,0.33100479875980354,-0.001898705281753864,0.2644628099173554,phase_caution,X_n,X_n
08.1,"Добыча камня, песка и глины",adj_unsmoothed,363,0.7878787878787878,0.5690939905088884,0.0023796451219187985,1.0606060606060606,phase_caution,X_n,X_n
18,Деятельность полиграфическая и,adj_unsmoothed,363,0.7851239669421488,0.4843436398677906,0.002311075030133755,0.5647382920110193,phase_caution,X_n,X_n
27,Производство электрического обо,adj_unsmoothed,363,0.7796143250688705,0.4800497742104918,-0.0008828341715848861,0.7134986225895317,phase_caution,X_n,X_n
33,Ремонт и монтаж машин и оборудо,adj_unsmoothed,363,0.7768595041322314,0.5531619213505011,0.000801269074423758,0.8870523415977961,phase_caution,X_n,X_n
