start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
0,24,False,52.273131045556234,0.01983801145468877,-0.038618618668022,4.586026656695435,-6.90507128801961,0.9513567832546519,05,Добыча угля,adj_smoothed,24,3
1,25,False,52.85068243139816,0.019729601143497155,-0.03815967530761563,5.5727088728512735,-8.740913604234704,0.9541085431549131,05,Добыча угля,adj_smoothed,24,3
2,26,False,63.33685012407993,0.018796717780556603,-0.03587380778455304,5.5973541470374055,-9.492184800603102,0.9620551930316368,05,Добыча угля,adj_smoothed,24,3
3,27,False,74.58035372035847,0.018321005855291214,-0.03504227182152163,5.577874794920637,-10.183565026566594,0.964691465203693,05,Добыча угля,adj_smoothed,24,3
4,28,False,80.81573536769015,0.01826384711628467,-0.03507683725373272,5.640517215065182,-10.85025099429929,0.9638304722994718,05,Добыча угля,adj_smoothed,24,3
5,29,False,83.90380568291928,0.01830029333291365,-0.035269916847463535,5.48233717737534,-10.993388007918458,0.9628719158183499,05,Добыча угля,adj_smoothed,24,3
6,30,False,81.48917025674952,0.018344012427733706,-0.035179660488842315,5.11977782094214,-10.469288848600126,0.9626687860325999,05,Добыча угля,adj_smoothed,24,3
7,31,False,77.08331063735298,0.01800960406010103,-0.033810734288892655,4.567521027024553,-9.130958457719885,0.9659408007484774,05,Добыча угля,adj_smoothed,24,3
8,32,False,79.87837523258906,0.017859332160020253,-0.033072178123837226,4.1603766894571255,-7.962397049180115,0.968093671554231,05,Добыча угля,adj_smoothed,24,3
9,33,False,79.20282528932266,0.01802170866168592,-0.03332839214652186,4.143910936209234,-7.502113805057098,0.9698466341909437,05,Добыча угля,adj_smoothed,24,3
10,34,False,77.72703094858824,0.018026802696936323,-0.03331188510191707,4.419899125400175,-7.618596284121522,0.9702416952040271,05,Добыча угля,adj_smoothed,24,3
11,35,False,80.15418816423232,0.0181099186923518,-0.0337023311557765,4.853441121226931,-8.35404600499791,0.9705889981947443,05,Добыча угля,adj_smoothed,24,3
12,36,False,83.73481479786274,0.018303006226927036,-0.03430528786785583,5.221776422653414,-9.294745350543959,0.9695676117957926,05,Добыча угля,adj_smoothed,24,3
13,37,False,87.40428625479561,0.018682700222111236,-0.03514549767569587,5.393702160465265,-10.021404082249358,0.9687608548097001,05,Добыча угля,adj_smoothed,24,3
14,38,False,92.14829082993622,0.01910088040469781,-0.036437181851894006,5.41505865477143,-10.50505339893107,0.9699442891701118,05,Добыча угля,adj_smoothed,24,3
15,39,False,92.3932578291858,0.019207568663447545,-0.03680770500579693,5.31091105320254,-10.43053484225941,0.973552560086621,05,Добыча угля,adj_smoothed,24,3
16,40,False,93.27654799743227,0.0193941841334638,-0.03732794700603448,5.271087675661914,-10.290605873037801,0.9739179346650375,05,Добыча угля,adj_smoothed,24,3
17,41,False,89.40326944522468,0.019565539568679086,-0.037563845296814856,5.396457972466012,-10.28379035161143,0.9783993973728453,05,Добыча угля,adj_smoothed,24,3
18,42,False,93.2526877570053,0.01800819192110806,-0.03318531079594865,5.333532588470542,-9.513589840469173,0.9827330615304658,05,Добыча угля,adj_smoothed,24,3
19,43,False,121.62444821959741,0.019014816513220886,-0.035714386014543666,6.247432284170321,-11.146558034917389,0.981318552034966,05,Добыча угля,adj_smoothed,24,3
20,44,False,130.35780845583236,0.020079864721151502,-0.038257503619746176,6.997859131998999,-12.657898746859917,0.9897043881611484,05,Добыча угля,adj_smoothed,24,3
21,45,False,149.15293527789046,0.01867858884656875,-0.034632462576322694,6.736825551947637,-12.02037734160211,0.9929250338420803,05,Добыча угля,adj_smoothed,24,3
22,46,False,183.48582319412893,0.01657317913575453,-0.029321566744704295,6.580115554875551,-11.390898894969876,0.9887701005376679,05,Добыча угля,adj_smoothed,24,3
23,47,False,207.0945648938645,0.01804360117626127,-0.03281383916792953,8.378149801010847,-15.261496180618503,0.9668560164314028,05,Добыча угля,adj_smoothed,24,3
24,48,False,149.8028204136682,0.017847449013260845,-0.03298593013579046,8.760035937856685,-16.81638220709307,0.962929823694786,05,Добыча угля,adj_smoothed,24,3
25,49,False,144.3036099932254,0.01615420801045622,-0.03069689580784113,7.147745625040699,-14.660866121002229,0.9656420192125277,05,Добыча угля,adj_smoothed,24,3
26,50,False,127.7274007779852,0.015373392027502748,-0.029384751761170932,6.15552607684641,-12.91059080987117,0.9732163575045041,05,Добыча угля,adj_smoothed,24,3
27,51,False,123.49805853885887,0.013869626678696147,-0.02512884258209707,5.3613022218889395,-10.537269274630486,0.9592337808949413,05,Добыча угля,adj_smoothed,24,3
28,52,False,114.02990358142301,0.016446741175973483,-0.03127283396472175,6.638685382500693,-13.305154199247927,0.9365837085537245,05,Добыча угля,adj_smoothed,24,3
29,53,False,83.48168579042739,0.015795736768327698,-0.029888586530914692,6.939173881751838,-13.271428641720481,0.9304732248570637,05,Добыча угля,adj_smoothed,24,3
30,54,False,78.7090548497461,0.014736904337251722,-0.027520210892488718,6.829521973924956,-12.413155470007487,0.9149936686419388,05,Добыча угля,adj_smoothed,24,3
31,55,False,78.81196896060088,0.015296301753355612,-0.029011096125548502,7.332631484265275,-13.342999841582165,0.904578551703588,05,Добыча угля,adj_smoothed,24,3
32,56,False,73.88946433079698,0.015841024126715265,-0.030415447612497967,7.505496064770979,-14.03640790150091,0.9161166111849893,05,Добыча угля,adj_smoothed,24,3
33,57,False,72.16369177690824,0.015884775294669657,-0.03079751586155613,6.850481701073095,-13.428860375708528,0.9332203246212702,05,Добыча угля,adj_smoothed,24,3
34,58,False,71.54371473823213,0.01592170386552824,-0.03109187594623971,6.022748512542134,-12.388489034263916,0.9447799471930716,05,Добыча угля,adj_smoothed,24,3
35,59,False,68.47068812803707,0.01577116036293646,-0.03078952148548226,5.447207282630613,-11.469915903553659,0.9453238865822895,05,Добыча угля,adj_smoothed,24,3
36,60,False,63.84707282254585,0.015734469754559152,-0.0307551585306987,5.208316866273609,-10.899639551213461,0.928804073412648,05,Добыча угля,adj_smoothed,24,3
37,61,False,58.79366127492337,0.016194949729392193,-0.03155408139405257,4.800795325432006,-9.800431367321302,0.9320580446341821,05,Добыча угля,adj_smoothed,24,3
