b1_group,group_label,interval,start_year,end_year,n_years,years,regime_label,interpretability_label,tool_label,spec,n_obs,adj_r2,r2,top_beta,top_b,beta_x,beta_lag1,beta_lag2,b_x,b_lag1,b_lag2,b_sum,cond_scaled,mean_abs_corr,sign_x,sign_lag1,loo_runs,loo_top_beta_consistency,loo_sign_lag1_consistency
high_90_50,High growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,0.22495718520811758,0.4187178889060882,X_n,X_n,-0.6470841436058286,,,-5.4214173769612695e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
high_90_50,High growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,-0.3990426975345962,0.06730486831026916,Lag_1,Lag_1,,-0.2594318182302804,,,-1.5945576266160028e-06,,-1.5945576266160028e-06,1.0,0.0,,-1.0,0,,
high_90_50,High growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,4,-1.370288669852981,0.20990377671567295,Lag_1,X_n,-0.412685975241465,-0.42589744758239223,,-2.995903577280348e-06,-2.6177129229229182e-06,,-2.6177129229229182e-06,1.5336779138130283,0.4033711813315484,-1.0,-1.0,0,,
high_90_50,High growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M1_current,8,-0.1666600307651389,5.687915595298243e-06,X_n,X_n,-0.0023849351343822184,,,-1.2147155546840569e-08,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
high_90_50,High growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,7,-0.17687263589281144,0.019272803422657137,Lag_1,Lag_1,,0.1388265227636894,,,7.901840044350857e-07,,7.901840044350857e-07,1.0,0.0,,1.0,9,1.0,0.6666666666666666
high_90_50,High growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,7,-0.46976778003356,0.020154813310959918,Lag_1,Lag_1,0.03580463237241503,0.11882747751095196,,1.2926447873215482e-07,6.763518249056297e-07,,6.763518249056297e-07,1.878997032045124,0.5585602735624046,1.0,1.0,9,0.6666666666666666,0.6666666666666666
high_90_50,High growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M3_lag1_lag2,6,-0.5111993125072651,0.0932804124956409,Lag_1,Lag_1,,0.32805314882746844,-0.14642329276874952,,1.8935266786062043e-06,-8.876677586260651e-07,1.0058589199801392e-06,1.4788006971112606,0.37242133846370035,,1.0,9,0.2222222222222222,0.5555555555555556
low_10_50,Low growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,0.2777169676999176,0.45828772577493815,X_n,X_n,-0.6769695161341742,,,-3.7334846157163676e-05,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
low_10_50,Low growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,0.915574045224219,0.9437160301494794,Lag_1,Lag_1,,-0.9714504774559946,,,-3.791545105459684e-05,,-3.791545105459684e-05,1.0,0.0,,-1.0,0,,
low_10_50,Low growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,4,0.9673497259600539,0.989116575320018,Lag_1,Lag_1,0.22877522981826365,-1.0547424975291126,,1.9150114751350333e-05,-4.116631621304642e-05,,-4.116631621304642e-05,1.464595379783694,0.3640779648185021,1.0,-1.0,0,,
low_10_50,Low growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M1_current,8,0.05784684284464647,0.19244015100969702,X_n,X_n,-0.4386800098131863,,,-1.8974173671216858e-05,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
low_10_50,Low growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,7,0.042450007079251506,0.20204167256604288,Lag_1,Lag_1,,-0.44949045881536065,,,-1.923075554674583e-05,,-1.923075554674583e-05,1.0,0.0,,-1.0,9,1.0,1.0
low_10_50,Low growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,7,-0.12726699008913323,0.24848867327391122,Lag_1,Lag_1,-0.26263681796926297,-0.29938683645683173,,-1.0608249821644929e-05,-1.2808803730759352e-05,,-1.2808803730759352e-05,1.9151296749060471,0.5715254377476341,-1.0,-1.0,9,0.4444444444444444,1.0
low_10_50,Low growth,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",plateau_like,low_dispersion,do_not_read_regression,M3_lag1_lag2,6,-0.12392793890872289,0.32564323665476624,Lag_2,Lag_2,,-0.17185356106798233,-0.4569118515497638,,-7.128964130407399e-06,-3.802523604101933e-05,-4.5154200171426725e-05,1.872459599278861,0.5561576967738981,,-1.0,9,0.2222222222222222,0.8888888888888888
middle_45_55_50,Middle growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,0.5268215087251166,0.6451161315438374,X_n,X_n,-0.8031912172974979,,,-1.3641716777107263e-05,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
middle_45_55_50,Middle growth,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,-0.49166850471436696,0.005554330190421952,Lag_1,Lag_1,,0.07452737879747204,,,5.87224142997863e-07,,5.87224142997863e-07,1.0,0.0,,1.0,0,,
