b1_group,group_label,window,start_year,end_year,regime_label,interpretability_label,tool_label,var_omega,rel_range,preferred_spec,adj_r2_best,top_beta_best,b_sum_best,cond_scaled_best
high_90_50,High growth,5,2003,2007,monotone_growth,interpretable,structural_m1_m2,0.002598277393035567,0.8737260388430635,M1_current,-0.44037450783038823,X_n,0.0,1.0
high_90_50,High growth,5,2004,2008,monotone_growth,interpretable,structural_m1_m2,0.004074606491019603,0.7637330088963388,M1_current,-0.32965724842409205,X_n,0.0,1.0
high_90_50,High growth,5,2005,2009,monotone_growth,interpretable,structural_m1_m2,0.028920686376084644,0.553584034266981,M1_current,0.436988326710845,X_n,0.0,1.0
high_90_50,High growth,5,2006,2010,monotone_growth,interpretable,structural_m1_m2,0.0314304960986765,0.4021874613993914,M1_current,0.7333747227188815,X_n,0.0,1.0
high_90_50,High growth,5,2007,2011,shock_transition,interpretable,phase_trajectory,0.08715563689215233,0.5258873047464898,M1_current,0.27229821852437164,X_n,0.0,1.0
high_90_50,High growth,5,2008,2012,monotone_growth,interpretable,structural_m1_m2,0.09777164782860774,0.8768734043908584,M1_current,-0.48959070997906196,X_n,0.0,1.0
high_90_50,High growth,5,2009,2013,monotone_growth,interpretable,structural_m1_m2,0.05551107518478034,1.065965232823858,M1_current,-0.49893724997318234,X_n,0.0,1.0
high_90_50,High growth,5,2010,2014,monotone_growth,interpretable,structural_m1_m2,0.017761897925541826,1.2154851052363107,M1_current,0.5593321075775682,X_n,0.0,1.0
high_90_50,High growth,5,2011,2015,monotone_growth,interpretable,structural_m1_m2,0.030145227220465663,0.773180157014672,M1_current,0.6668555866590288,X_n,0.0,1.0
high_90_50,High growth,5,2012,2016,oscillatory,interpretable,structural_m1_m2,0.028275951592406402,0.4847836568510152,M1_current,0.6892150191119177,X_n,0.0,1.0
high_90_50,High growth,5,2013,2017,shock_transition,interpretable,phase_trajectory,0.02351900733126228,0.2696991193268778,M1_current,0.9783788587956915,X_n,0.0,1.0
high_90_50,High growth,5,2014,2018,plateau_like,low_dispersion,do_not_read_regression,0.002010994165511548,0.0726612713129567,M1_current,0.5897247742323539,X_n,0.0,1.0
high_90_50,High growth,5,2015,2019,plateau_like,low_dispersion,do_not_read_regression,0.000806652313949245,0.07554003159934791,M1_current,-0.41295713114135957,X_n,0.0,1.0
high_90_50,High growth,5,2016,2020,plateau_like,low_dispersion,do_not_read_regression,0.000782648544236366,0.0799877646831542,M1_current,-0.22150518514947337,X_n,0.0,1.0
high_90_50,High growth,5,2017,2021,plateau_like,low_dispersion,do_not_read_regression,0.0009551040875435057,0.15411794984041005,M1_current,-0.3419901255236173,X_n,0.0,1.0
