sector_2d,sector_label,interval,start_year,end_year,n_years,years,regime_label,interpretability_label,tool_label,spec,n_obs,adj_r2,r2,top_beta,top_b,beta_x,beta_lag1,beta_lag2,b_x,b_lag1,b_lag2,b_sum,cond_scaled,mean_abs_corr,sign_x,sign_lag1,loo_runs,loo_top_beta_consistency,loo_sign_lag1_consistency
01,01 — Растениеводство в сочетании с животноводством (с,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_current,5,0.9544961062675156,0.9658720797006367,X_n,X_n,-0.9827879118612706,,,-9.92394567172368e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
01,01 — Растениеводство в сочетании с животноводством (с,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_lag1,4,0.5978183329118312,0.7318788886078874,Lag_1,Lag_1,,-0.8554992043291959,,,-1.7835319781734543e-06,,-1.7835319781734543e-06,1.0,0.0,,-1.0,0,,
01,01 — Растениеводство в сочетании с животноводством (с,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M2_current_lag1,4,0.7052965933827988,0.9017655311275996,Lag_1,X_n,3.238878337010279,-4.068044338554514,,2.097690582021779e-05,-8.48099814672364e-06,,-8.48099814672364e-06,15.652219628100893,0.9918696536130872,1.0,-1.0,0,,
01,01 — Растениеводство в сочетании с животноводством (с,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_current,8,0.004806902696941395,0.146977345168807,X_n,X_n,-0.38337624491980055,,,-1.9750065557774554e-06,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
01,01 — Растениеводство в сочетании с животноводством (с,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_lag1,7,-0.18524294623500048,0.012297544804166227,Lag_1,Lag_1,,0.11089429563402345,,,5.290012552635678e-07,,5.290012552635678e-07,1.0,0.0,,1.0,9,1.0,1.0
01,01 — Растениеводство в сочетании с животноводством (с,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M2_current_lag1,7,-0.43112501050906316,0.04591665966062464,X_n,X_n,0.3750620608973875,-0.21629438795411193,,1.6446114033716385e-06,-1.031793403619268e-06,,-1.031793403619268e-06,3.83000261807238,0.8723587845843205,1.0,-1.0,9,0.5555555555555556,0.4444444444444444
01,01 — Растениеводство в сочетании с животноводством (с,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M3_lag1_lag2,6,-0.1131779988477386,0.33209320069135684,Lag_2,Lag_2,,-0.44498804077601795,0.8006677701020666,,-3.2625024780672946e-06,5.499441347112224e-06,2.236938869044929e-06,2.435603901681554,0.7114899016500648,,-1.0,9,0.7777777777777778,0.7777777777777778
05,05 — Рыболовство в открытых районах Мирового океана и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_current,5,0.2632255068812599,0.4474191301609449,X_n,X_n,-0.6688939603262576,,,-2.4009729397186615e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
05,05 — Рыболовство в открытых районах Мирового океана и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_lag1,4,-0.48930681642347995,0.007128789051013329,Lag_1,Lag_1,,-0.08443215649865568,,,-4.180444300385321e-07,,-4.180444300385321e-07,1.0,0.0,,-1.0,0,,
05,05 — Рыболовство в открытых районах Мирового океана и,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,4,0.5300384700060892,0.8433461566686964,X_n,X_n,-1.030703558321975,0.3911017092984058,,-5.1265651924842506e-06,1.936441018811958e-06,,1.936441018811958e-06,1.647152623336577,0.4613682197539405,-1.0,1.0,0,,
