sector_2d,sector_label,interval,dominant_regime,dominant_interpretability,dominant_tool,best_spec,best_adj_r2,mean_b_sum,top_beta_mode,mean_loo_top_beta_consistency,mean_loo_sign_lag1_consistency
01,01 — Растениеводство в сочетании с животноводством (с,2014-2019,monotone_growth,collinearity_heavy,enter_beta_bsum,M1_current,0.9544961062675156,-3.4215100416323644e-06,Lag_1,1.0,0.0
05,05 — Рыболовство в открытых районах Мирового океана и,2014-2019,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.5300384700060892,5.061321962578086e-07,X_n,1.0,0.0
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.5268682954286595,1.206749652763252e-07,X_n,1.0,0.0
18,18 — Производство спецодежды,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.963681506011984,7.185873426671169e-07,X_n,1.0,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2019,monotone_growth,collinearity_heavy,enter_beta_bsum,M2_current_lag1,0.8833140201506396,-7.766267473227843e-06,Lag_1,1.0,0.0
21,"21 — Производство гофрированного картона, бумажной и ",2014-2019,oscillatory,interpretable,structural_m1_m2,M1_lag1,0.06587256822156196,3.0751401770884586e-06,Lag_1,1.0,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.4348539268409194,-5.465104043261603e-07,X_n,1.0,0.0
24,24 — Производство прочих фармацевтических продуктов и,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M1_current,0.16003000841783954,1.4142442354076645e-06,X_n,1.0,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2019,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.8780370078484778,2.5507587595457325e-07,X_n,1.0,0.0
26,26 — Производство изделий из бетона для использования,2014-2019,monotone_decline,interpretable,structural_m1_m2,M2_current_lag1,0.9971732895148949,-9.935867760935222e-07,X_n,1.0,0.0
28,28 — Производство строительных металлических конструк,2014-2019,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.7229035709925349,-9.516058081617176e-06,X_n,1.0,0.0
29,29 — Производство машин и оборудования для изготовлен,2014-2019,monotone_growth,interpretable,structural_m1_m2,M2_current_lag1,0.6402497291743511,3.2718144522831873e-06,X_n,1.0,0.0
31,"31 — Предоставление услуг по монтажу, ремонту и техни",2014-2019,shock_transition,interpretable,phase_trajectory,M1_lag1,0.35188438330238636,-8.233310519205713e-06,Lag_1,1.0,0.0
36,36 — Производство мебели для офисов и предприятий тор,2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.3557010420582696,-2.0619609076683527e-06,X_n,1.0,0.0
40,40 — Производство пара и горячей воды (тепловой энерг,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.9959646542173287,-1.5024903917856281e-06,Lag_1,1.0,0.0
41,41 — Распределение воды,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M1_current,-0.05198900323497346,8.697859808284247e-07,X_n,1.0,0.0
45,45 — Строительство зданий и сооружений,2014-2019,monotone_decline,interpretable,structural_m1_m2,M2_current_lag1,0.5609655329780149,2.101293271919808e-06,X_n,1.0,0.0
50,"50 — Оптовая торговля автомобильными деталями, узлами",2014-2019,plateau_like,low_dispersion,do_not_read_regression,M1_current,0.7799436275170779,9.099707627534552e-07,X_n,1.0,0.0
51,51 — Прочая оптовая торговля,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.5165492185359325,5.934578476116928e-06,X_n,1.0,0.0
52,52 — Розничная торговля в неспециализированных магази,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M1_current,-0.27555663766079164,-6.44766647372436e-07,X_n,1.0,0.0
55,55 — Деятельность ресторанов,2014-2019,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.9757759579749585,-6.4992493211953665e-06,X_n,1.0,0.0
60,60 — Деятельность автомобильного грузового неспециали,2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.2609816072365667,1.8034134426932203e-06,X_n,1.0,0.0
63,63 — Хранение и складирование зерна,2014-2019,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.4334054062517947,-9.886351589316742e-07,X_n,1.0,0.0
64,64 — Деятельность в области электросвязи,2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.5699287492098847,-1.5824084847650223e-06,X_n,1.0,0.0
70,70 — Сдача внаем собственного нежилого недвижимого им,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.40188281023935635,5.233049407240634e-06,X_n,1.0,0.0
72,72 — Разработка программного обеспечения,2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.7052138246183682,5.389552260513034e-07,X_n,1.0,0.0
74,"74 — Деятельность в области архитектуры, инженерно те",2014-2019,oscillatory,interpretable,structural_m1_m2,M1_current,0.5972160300478404,-1.1385570844298717e-06,X_n,1.0,0.0
85,85 — Деятельность санаторно-курортных учреждений,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M1_current,0.3932208977881143,2.0008593942422057e-06,X_n,1.0,0.0
93,93 — Организация похорон и предоставление связанных с,2014-2019,plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.980987582911902,8.703516013882734e-06,X_n,1.0,0.0
01,01 — Растениеводство в сочетании с животноводством (с,2014-2022,monotone_growth,interpretable,structural_m1_m2,M1_current,0.004806902696941395,4.3353668017230723e-07,X_n,0.8333333333333334,0.5555555555555556
