sector_2d,sector_label,shock_year,median_revenue,change_before,change_after
01,01 — Растениеводство в сочетании с животноводством (с,2020,103838.0,0.1616028279935564,0.10615574259904847
01,01 — Растениеводство в сочетании с животноводством (с,2022,119945.0,0.04426219517503771,0.0
05,05 — Рыболовство в открытых районах Мирового океана и,2020,356969.0,0.19727186133247465,0.0847398513596418
05,05 — Рыболовство в открытых районах Мирового океана и,2022,297962.0,-0.23050680688035308,0.0
15,15 — Производство хлеба и мучных кондитерских изделий,2020,459422.0,0.011127593173785089,0.009501068734192097
15,15 — Производство хлеба и мучных кондитерских изделий,2022,495563.0,0.06851421018700399,0.0
18,18 — Производство спецодежды,2020,61179.0,-0.10032866922053185,-0.026381601529936738
18,18 — Производство спецодежды,2022,64651.0,0.08538571308654408,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",2020,219992.5,-0.0971073616988094,0.48250735820539337
20,"20 — Производство клееной фанеры, древесных плит и па",2022,356810.0,0.0940376923442503,0.0
21,"21 — Производство гофрированного картона, бумажной и ",2020,315010.5,0.10617135252154775,0.21818796516306604
21,"21 — Производство гофрированного картона, бумажной и ",2022,436160.0,0.13659698443224877,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",2020,26994.0,-0.1375718849840255,0.24783285174483227
22,"22 — Полиграфическая деятельность, не включенная в др",2022,32524.0,-0.034437715235720257,0.0
24,24 — Производство прочих фармацевтических продуктов и,2020,268114.0,0.1912577532123625,0.19941144438559721
24,24 — Производство прочих фармацевтических продуктов и,2022,347848.0,0.0816875480053112,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",2020,116217.0,0.025619076195350976,0.23071495564332234
25,"25 — Производство пластмассовых плит, полос, труб и п",2022,172902.0,0.20885128993917368,0.0
26,26 — Производство изделий из бетона для использования,2020,234827.0,-0.05466263830712281,0.1268231506598474
26,26 — Производство изделий из бетона для использования,2022,330689.5,0.2497312066694759,0.0
28,28 — Производство строительных металлических конструк,2020,105928.0,0.06952605965146108,0.1480061928857337
28,28 — Производство строительных металлических конструк,2022,133809.5,0.10035277864579051,0.0
29,29 — Производство машин и оборудования для изготовлен,2020,184412.0,0.13478022755662766,0.12679218272129789
29,29 — Производство машин и оборудования для изготовлен,2022,256873.0,0.23619065035564057,0.0
31,"31 — Предоставление услуг по монтажу, ремонту и техни",2020,65062.0,-0.06890679336548511,0.20122344840306172
31,"31 — Предоставление услуг по монтажу, ремонту и техни",2022,84257.0,0.07808941320981644,0.0
36,36 — Производство мебели для офисов и предприятий тор,2020,97632.0,-0.02271248536050685,0.16780358898721737
36,36 — Производство мебели для офисов и предприятий тор,2022,121746.0,0.06780686751743192,0.0
40,40 — Производство пара и горячей воды (тепловой энерг,2020,264335.0,-0.029589383065034225,0.1195339247545728
40,40 — Производство пара и горячей воды (тепловой энерг,2022,300087.0,0.014040387656623743,0.0
41,41 — Распределение воды,2020,253597.0,-0.005911291429019472,0.028111531287830616
41,41 — Распределение воды,2022,276119.0,0.05903899112478239,0.0
45,45 — Строительство зданий и сооружений,2020,66613.0,-0.1431640147666028,0.08673982555957549
45,45 — Строительство зданий и сооружений,2022,66254.0,-0.08477573178986342,0.0
50,"50 — Оптовая торговля автомобильными деталями, узлами",2020,34694.5,-0.0980945201206197,0.09429448471659763
50,"50 — Оптовая торговля автомобильными деталями, узлами",2022,36903.5,-0.02798556603276614,0.0
51,51 — Прочая оптовая торговля,2020,73812.0,-0.05410462106261371,0.117257356527394
51,51 — Прочая оптовая торговля,2022,77863.0,-0.055828391962845725,0.0
52,52 — Розничная торговля в неспециализированных магази,2020,43833.5,-0.012503238451400667,0.013231888852133666
52,52 — Розничная торговля в неспециализированных магази,2022,44043.0,-0.008342058157992494,0.0
55,55 — Деятельность ресторанов,2020,33133.0,-0.27209016213366144,0.32028491232306155
55,55 — Деятельность ресторанов,2022,51030.0,0.16653331809349647,0.0
60,60 — Деятельность автомобильного грузового неспециали,2020,97973.0,-0.10630185219814547,0.07645984097659553
60,60 — Деятельность автомобильного грузового неспециали,2022,112550.0,0.06718880376242131,0.0
63,63 — Хранение и складирование зерна,2020,109195.0,-0.04121556954578576,-0.005430651586611157
63,63 — Хранение и складирование зерна,2022,117848.0,0.08513655365462891,0.0
64,64 — Деятельность в области электросвязи,2020,65866.0,-0.03971424405890067,0.04421097379528138
64,64 — Деятельность в области электросвязи,2022,65301.0,-0.0505539562069266,0.0
70,70 — Сдача внаем собственного нежилого недвижимого им,2020,23206.0,-0.09921589938669362,-0.0056881840903214576
70,70 — Сдача внаем собственного нежилого недвижимого им,2022,23338.0,0.011441449250238378,0.0
72,72 — Разработка программного обеспечения,2020,65760.0,-0.11875854305700728,0.045567214111922105
72,72 — Разработка программного обеспечения,2022,76721.5,0.11584359296939195,0.0
74,"74 — Деятельность в области архитектуры, инженерно те",2020,39601.5,-0.10527326540295068,0.14479249523376647
74,"74 — Деятельность в области архитектуры, инженерно те",2022,43637.0,-0.03746512115229783,0.0
85,85 — Деятельность санаторно-курортных учреждений,2020,87311.0,-0.2713517934338123,0.441204430140532
85,85 — Деятельность санаторно-курортных учреждений,2022,149273.0,0.186278639148713,0.0
93,93 — Организация похорон и предоставление связанных с,2020,11840.0,-0.1477109127555427,0.20194256756756768
93,93 — Организация похорон и предоставление связанных с,2022,15025.0,0.05579368983205679,0.0
