sector_2d,sector_label,spec,top_beta_consistent,lag1_sign_consistent,x_sign_consistent,adj_r2_range
01,01 — Растениеводство в сочетании с животноводством (с,M1_current,1,1,1,0.9496892035705742
01,01 — Растениеводство в сочетании с животноводством (с,M1_lag1,1,0,1,0.7830612791468317
01,01 — Растениеводство в сочетании с животноводством (с,M2_current_lag1,0,1,1,1.136421603891862
05,05 — Рыболовство в открытых районах Мирового океана и,M1_current,1,1,1,0.09763584437669126
05,05 — Рыболовство в открытых районах Мирового океана и,M1_lag1,1,1,1,0.5252832726204494
05,05 — Рыболовство в открытых районах Мирового океана и,M2_current_lag1,1,1,1,0.07404416089137056
15,15 — Производство хлеба и мучных кондитерских изделий,M1_current,1,1,1,0.28506521300634413
15,15 — Производство хлеба и мучных кондитерских изделий,M1_lag1,1,1,1,0.19998759308950897
15,15 — Производство хлеба и мучных кондитерских изделий,M2_current_lag1,1,1,1,0.6252302328176904
18,18 — Производство спецодежды,M1_current,1,1,1,0.5059029731711993
18,18 — Производство спецодежды,M1_lag1,1,1,1,0.507833272218964
18,18 — Производство спецодежды,M2_current_lag1,1,0,1,0.4211555679840423
20,"20 — Производство клееной фанеры, древесных плит и па",M1_current,1,1,0,0.15355896188839036
20,"20 — Производство клееной фанеры, древесных плит и па",M1_lag1,1,0,1,0.19863839069175793
20,"20 — Производство клееной фанеры, древесных плит и па",M2_current_lag1,1,0,0,1.0846773291168397
21,"21 — Производство гофрированного картона, бумажной и ",M1_current,1,1,0,0.09732469407719746
21,"21 — Производство гофрированного картона, бумажной и ",M1_lag1,1,1,1,0.09205918713763417
21,"21 — Производство гофрированного картона, бумажной и ",M2_current_lag1,1,1,0,0.8849091038507526
22,"22 — Полиграфическая деятельность, не включенная в др",M1_current,1,1,0,0.4110473893266289
22,"22 — Полиграфическая деятельность, не включенная в др",M1_lag1,1,0,1,0.3601691859034286
22,"22 — Полиграфическая деятельность, не включенная в др",M2_current_lag1,1,0,0,0.31178697858470883
24,24 — Производство прочих фармацевтических продуктов и,M1_current,1,1,0,0.1865963249974777
24,24 — Производство прочих фармацевтических продуктов и,M1_lag1,1,0,1,0.17573450388476541
24,24 — Производство прочих фармацевтических продуктов и,M2_current_lag1,0,1,1,0.23706392788003328
25,"25 — Производство пластмассовых плит, полос, труб и п",M1_current,1,1,1,0.9578593525838661
25,"25 — Производство пластмассовых плит, полос, труб и п",M1_lag1,1,0,1,0.13936003043166667
25,"25 — Производство пластмассовых плит, полос, труб и п",M2_current_lag1,1,0,0,1.2632550056650265
26,26 — Производство изделий из бетона для использования,M1_current,1,1,1,0.3596545409506916
26,26 — Производство изделий из бетона для использования,M1_lag1,1,1,1,0.009482127641041282
26,26 — Производство изделий из бетона для использования,M2_current_lag1,0,1,1,0.839235602023202
28,28 — Производство строительных металлических конструк,M1_current,1,1,1,0.5432229531156904
28,28 — Производство строительных металлических конструк,M1_lag1,1,1,1,0.0901804322595583
28,28 — Производство строительных металлических конструк,M2_current_lag1,0,1,1,0.6604436622779934
29,29 — Производство машин и оборудования для изготовлен,M1_current,1,1,0,0.1434233173680478
29,29 — Производство машин и оборудования для изготовлен,M1_lag1,1,0,1,0.7676589750713151
29,29 — Производство машин и оборудования для изготовлен,M2_current_lag1,0,1,1,0.4455740765100915
31,"31 — Предоставление услуг по монтажу, ремонту и техни",M1_current,1,1,1,0.1362860807134444
31,"31 — Предоставление услуг по монтажу, ремонту и техни",M1_lag1,1,1,1,0.1326693410654739
31,"31 — Предоставление услуг по монтажу, ремонту и техни",M2_current_lag1,1,1,1,0.5354933320663591
36,36 — Производство мебели для офисов и предприятий тор,M1_current,1,1,1,0.09819997291194904
36,36 — Производство мебели для офисов и предприятий тор,M1_lag1,1,1,1,0.4071226682999325
36,36 — Производство мебели для офисов и предприятий тор,M2_current_lag1,1,1,1,0.413798175312453
40,40 — Производство пара и горячей воды (тепловой энерг,M1_current,1,1,1,0.08964982201080152
40,40 — Производство пара и горячей воды (тепловой энерг,M1_lag1,1,1,1,0.8641798356489111
40,40 — Производство пара и горячей воды (тепловой энерг,M2_current_lag1,0,1,1,1.004591687599801
41,41 — Распределение воды,M1_current,1,1,1,0.1009969474513065
41,41 — Распределение воды,M1_lag1,1,1,1,0.22616894647599572
41,41 — Распределение воды,M2_current_lag1,1,1,1,0.2136455492501519
45,45 — Строительство зданий и сооружений,M1_current,1,1,1,0.23866320097452054
45,45 — Строительство зданий и сооружений,M1_lag1,1,0,1,0.27467111740221806
45,45 — Строительство зданий и сооружений,M2_current_lag1,1,1,1,0.2785350954744539
50,"50 — Оптовая торговля автомобильными деталями, узлами",M1_current,1,1,1,0.39177822362789716
50,"50 — Оптовая торговля автомобильными деталями, узлами",M1_lag1,1,1,1,0.3391340300820195
50,"50 — Оптовая торговля автомобильными деталями, узлами",M2_current_lag1,1,1,1,0.4539392968737843
51,51 — Прочая оптовая торговля,M1_current,1,1,1,0.2656377285133523
51,51 — Прочая оптовая торговля,M1_lag1,1,1,1,0.033246043763347055
51,51 — Прочая оптовая торговля,M2_current_lag1,1,1,1,0.10879229904425891
52,52 — Розничная торговля в неспециализированных магази,M1_current,1,1,0,0.41562791215121053
52,52 — Розничная торговля в неспециализированных магази,M1_lag1,1,1,1,0.9457663986427319
52,52 — Розничная торговля в неспециализированных магази,M2_current_lag1,0,1,0,2.2655161459294644
55,55 — Деятельность ресторанов,M1_current,1,1,1,0.10890705617451202
55,55 — Деятельность ресторанов,M1_lag1,1,1,1,0.3459283867190692
55,55 — Деятельность ресторанов,M2_current_lag1,1,1,1,0.4387373629655481
60,60 — Деятельность автомобильного грузового неспециали,M1_current,1,1,1,0.17756862466787038
60,60 — Деятельность автомобильного грузового неспециали,M1_lag1,1,0,1,0.2194662194822572
60,60 — Деятельность автомобильного грузового неспециали,M2_current_lag1,1,0,1,1.4843415340188004
63,63 — Хранение и складирование зерна,M1_current,1,1,1,0.2071141927053609
63,63 — Хранение и складирование зерна,M1_lag1,1,1,1,0.22216935638035984
63,63 — Хранение и складирование зерна,M2_current_lag1,1,0,1,0.13759592325433978
64,64 — Деятельность в области электросвязи,M1_current,1,1,1,0.006303227460125904
64,64 — Деятельность в области электросвязи,M1_lag1,1,1,1,0.1425901965492914
64,64 — Деятельность в области электросвязи,M2_current_lag1,1,1,1,0.1939349693046839
70,70 — Сдача внаем собственного нежилого недвижимого им,M1_current,1,1,1,0.4467161389655626
70,70 — Сдача внаем собственного нежилого недвижимого им,M1_lag1,1,1,1,0.6193853636139376
70,70 — Сдача внаем собственного нежилого недвижимого им,M2_current_lag1,1,1,1,0.11609893056706033
72,72 — Разработка программного обеспечения,M1_current,1,1,1,0.041934329441275175
72,72 — Разработка программного обеспечения,M1_lag1,1,1,1,0.2787517887202464
72,72 — Разработка программного обеспечения,M2_current_lag1,1,0,1,0.7134136811332233
74,"74 — Деятельность в области архитектуры, инженерно те",M1_current,1,1,1,0.13309125272614086
74,"74 — Деятельность в области архитектуры, инженерно те",M1_lag1,1,1,1,0.01465426523593183
74,"74 — Деятельность в области архитектуры, инженерно те",M2_current_lag1,1,1,1,0.10202658557341615
85,85 — Деятельность санаторно-курортных учреждений,M1_current,1,1,1,0.06901842894761845
85,85 — Деятельность санаторно-курортных учреждений,M1_lag1,1,1,1,0.3537385277031071
85,85 — Деятельность санаторно-курортных учреждений,M2_current_lag1,1,0,1,0.9025139076230011
93,93 — Организация похорон и предоставление связанных с,M1_current,1,1,1,0.544676823081356
93,93 — Организация похорон и предоставление связанных с,M1_lag1,1,0,1,0.3393386805061329
93,93 — Организация похорон и предоставление связанных с,M2_current_lag1,1,0,1,0.7678099682576115
