sector_2d,sector_label,window,dominant_regime,dominant_interpretability,dominant_tool,interpretable_share,phase_share,do_not_read_share,best_spec_mode,mean_adj_r2_best,top_beta_mode,mean_b_sum_best
01,01 — Растениеводство в сочетании с животноводством (с,5,monotone_growth,interpretable,structural_m1_m2,0.6875,0.0,0.3125,M1_current,0.17816255312122503,X_n,0.0
05,05 — Рыболовство в открытых районах Мирового океана и,5,monotone_growth,interpretable,structural_m1_m2,1.0,0.3125,0.0,M1_current,-0.03500496425519613,X_n,0.0
15,15 — Производство хлеба и мучных кондитерских изделий,5,plateau_like,low_dispersion,do_not_read_regression,0.375,0.0,0.625,M1_current,0.08925186135288075,X_n,0.0
18,18 — Производство спецодежды,5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.1875,0.1875,M1_current,0.17526174099439076,X_n,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",5,monotone_growth,interpretable,structural_m1_m2,0.75,0.1875,0.25,M1_current,0.3510916693641913,X_n,0.0
21,"21 — Производство гофрированного картона, бумажной и ",5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.0625,0.1875,M1_current,0.029317159229503183,X_n,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",5,plateau_like,interpretable,structural_m1_m2,0.5625,0.125,0.4375,M1_current,0.501321966131984,X_n,0.0
24,24 — Производство прочих фармацевтических продуктов и,5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.0,0.1875,M1_current,0.12795645431402689,X_n,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",5,oscillatory,interpretable,structural_m1_m2,1.0,0.0,0.0,M1_current,0.2012191633548334,X_n,0.0
26,26 — Производство изделий из бетона для использования,5,monotone_growth,interpretable,structural_m1_m2,0.875,0.0625,0.125,M1_current,0.3220873819786796,X_n,0.0
28,28 — Производство строительных металлических конструк,5,monotone_growth,interpretable,structural_m1_m2,0.875,0.1875,0.125,M1_current,0.3357576939393629,X_n,0.0
29,29 — Производство машин и оборудования для изготовлен,5,shock_transition,interpretable,structural_m1_m2,0.75,0.3125,0.25,M1_current,0.11600996798219054,X_n,0.0
31,"31 — Предоставление услуг по монтажу, ремонту и техни",5,monotone_growth,interpretable,structural_m1_m2,0.75,0.125,0.25,M1_current,0.18222783358381517,X_n,0.0
36,36 — Производство мебели для офисов и предприятий тор,5,oscillatory,interpretable,structural_m1_m2,0.875,0.0,0.125,M1_current,0.22073490491764952,X_n,0.0
40,40 — Производство пара и горячей воды (тепловой энерг,5,plateau_like,low_dispersion,do_not_read_regression,0.5,0.0,0.5,M1_current,0.2489205757786367,X_n,0.0
41,41 — Распределение воды,5,plateau_like,low_dispersion,do_not_read_regression,0.4375,0.0,0.5625,M1_current,0.13138234663855033,X_n,0.0
45,45 — Строительство зданий и сооружений,5,oscillatory,interpretable,structural_m1_m2,0.75,0.125,0.25,M1_current,0.21298896853060023,X_n,0.0
50,"50 — Оптовая торговля автомобильными деталями, узлами",5,plateau_like,interpretable,structural_m1_m2,0.5625,0.0625,0.4375,M1_current,0.34349933373688124,X_n,0.0
51,51 — Прочая оптовая торговля,5,plateau_like,low_dispersion,do_not_read_regression,0.5,0.0,0.5,M1_current,0.3264530467320054,X_n,0.0
52,52 — Розничная торговля в неспециализированных магази,5,plateau_like,low_dispersion,do_not_read_regression,0.1875,0.0,0.8125,M1_current,0.5108115204220813,X_n,0.0
55,55 — Деятельность ресторанов,5,plateau_like,interpretable,structural_m1_m2,0.5625,0.125,0.4375,M1_current,0.22871282793352832,X_n,0.0
60,60 — Деятельность автомобильного грузового неспециали,5,oscillatory,interpretable,structural_m1_m2,0.6875,0.125,0.3125,M1_current,0.28857668761981325,X_n,0.0
