series_code,series_name,parent_code,parent_name
B,Добыча полезных ископаемых,ПРОМ,Промышленность - всего
05,Добыча угля,B,Добыча полезных ископаемых
06,Добыча сырой нефти и природного,B,Добыча полезных ископаемых
06.1,Добыча сырой нефти и нефтяног,06,Добыча сырой нефти и природного
06.2,Добыча природного газа и газо,06,Добыча сырой нефти и природного
07,Добыча металлических руд,B,Добыча полезных ископаемых
07.1,Добыча и обогащение железных,07,Добыча металлических руд
07.2,Добыча руд цветных металлов,07,Добыча металлических руд
08,Добыча прочих полезных ископаем,B,Добыча полезных ископаемых
08.1,"Добыча камня, песка и глины",08,Добыча прочих полезных ископаем
08.9,"Добыча полезных ископаемых, н",08,Добыча прочих полезных ископаем
09,Предоставление услуг в области,B,Добыча полезных ископаемых
C,Обрабатывающие производства,ПРОМ,Промышленность - всего
10,Производство пищевых продуктов,C,Обрабатывающие производства
11,Производство напитков,C,Обрабатывающие производства
12,Производство табачных изделий,C,Обрабатывающие производства
13,Производство текстильных издели,C,Обрабатывающие производства
14,Производство одежды,C,Обрабатывающие производства
15,Производство кожи и изделий из,C,Обрабатывающие производства
16,Обработка древесины и производс,C,Обрабатывающие производства
17,Производство бумаги и бумажных,C,Обрабатывающие производства
18,Деятельность полиграфическая и,C,Обрабатывающие производства
19,Производство кокса и нефтепроду,C,Обрабатывающие производства
20,Производство химических продукт,C,Обрабатывающие производства
21,Производство лекарственных сред,C,Обрабатывающие производства
22.1,Производство резиновых издели,,
22.2,Производство изделий из пласт,,
23,Производство прочей неметалличе,C,Обрабатывающие производства
24,Производство металлургическое,C,Обрабатывающие производства
25,Производство готовых металличес,C,Обрабатывающие производства
26,"Производство компьютеров, элект",C,Обрабатывающие производства
27,Производство электрического обо,C,Обрабатывающие производства
28,Производство машин и оборудован,C,Обрабатывающие производства
29,Производство автотранспортных с,C,Обрабатывающие производства
30.2,Производство железнодорожных,,
31,Производство мебели,C,Обрабатывающие производства
32.1,Производство ювелирных издели,,
33,Ремонт и монтаж машин и оборудо,C,Обрабатывающие производства
D,Обеспечение электрической энерги,ПРОМ,Промышленность - всего
"35.1+35.3 Производство, передача и","35.1+35.3 Производство, передача и",,
35.2,Производство и распределение,,
E,"Водоснабжение, водоотведение...",ПРОМ,Промышленность - всего
36,"Забор, очистка и распределдение",E,"Водоснабжение, водоотведение..."
37,Сбор и обработка сточных вод,E,"Водоснабжение, водоотведение..."
38,"Сбор, обработка и утилизация от",E,"Водоснабжение, водоотведение..."
39,Предоставление услуг в области,E,"Водоснабжение, водоотведение..."
ПРОМ,Промышленность - всего,,
