date,series_code,series_name,series_label,variant,index_value
2013-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,100.0
2013-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,100.168
2013-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,100.395
2013-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,100.643
2013-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,100.934
2013-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.242
2013-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.479
2013-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.515
2013-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.353
2013-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.173
2013-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.131
2013-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.26
2014-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.482
2014-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.743
2014-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.021
2014-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.275
2014-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.395
2014-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.291
2014-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.054
2014-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,101.914
2014-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.028
2014-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.359
2014-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.715
2014-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.893
2015-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.864
2015-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.759
2015-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.685
2015-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.644
2015-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.601
2015-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.61
2015-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.766
2015-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,103.115
2015-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,103.575
2015-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,103.935
2015-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.083
2015-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.072
2016-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.089
2016-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.234
2016-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.453
2016-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.637
2016-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,104.785
2016-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,105.004
2016-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,105.407
2016-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.037
2016-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.792
2016-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.481
2016-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.974
2016-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.258
2017-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.372
2017-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.387
2017-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.456
2017-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.679
2017-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.963
2017-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.1
2017-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.916
